time,altitude,pos_x,pos_y,vel_x,vel_y,vel_z,speed,mach,alpha_deg,dynamic_pressure,air_density,pitch,yaw,roll,omega_x,omega_y,omega_z,mass,thrust
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.225000018124288,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
0.05,0.02578130806186581,0.0,0.0,0.0,0.0,1.5550077111432583,1.5550077111432583,0.004569602220520995,46.09681757466218,1.4810513574886914,1.224996986155557,0.0,0.0,0.0,0.0,0.0,0.0,35.94571428571428,2611.727428571429
0.1,0.18590441535526167,0.0,0.0,0.0,0.0,4.896994429663761,4.896994429663761,0.014390511939569056,18.53825799014483,14.687827672648284,1.2249781552675072,0.0,0.0,0.0,0.0,0.0,0.0,35.858,2808.2502
0.15000000000000002,0.507613270109904,0.0,0.0,0.0,0.0,7.895767132057177,7.895767132057177,0.02320291458518324,14.277933873587783,38.183312142621794,1.2249403221534734,0.0,0.0,0.0,0.0,0.0,0.0,35.768,2477.282
0.2,0.9778920448123003,0.0,0.0,0.0,0.0,10.936834845419618,10.936834845419618,0.0321397258253345,7.282966038315396,73.2569166136296,1.2248850187616944,0.0,0.0,0.0,0.0,0.0,0.0,35.686,2564.291
0.25,1.6029669378870097,0.0,0.0,0.0,0.0,14.072750297574812,14.072750297574812,0.04135543156675419,5.368724153030964,121.2822453005393,1.2248115147740546,0.0,0.0,0.0,0.0,0.0,0.0,35.599000000000004,2587.3176
0.3,2.384756269605127,0.0,0.0,0.0,0.0,17.19283973249334,17.19283973249334,0.05052484850446689,4.96750619694777,181.00972042441703,1.224719587146771,0.0,0.0,0.0,0.0,0.0,0.0,35.516000000000005,2557.1782
0.35,3.3227659418790267,0.0,0.0,0.0,0.0,20.343155832894418,20.343155832894418,0.05978336083230185,4.635542219451167,253.39859839962554,1.224609297161009,0.0,0.0,0.0,0.0,0.0,0.0,35.428,2618.8842
0.39999999999999997,4.420508772396241,0.0,0.0,0.0,0.0,23.573383822020297,23.573383822020297,0.06927703710964765,4.466816462000506,340.22454252623595,1.2244802356442013,0.0,0.0,0.0,0.0,0.0,0.0,35.344,2643.646
0.44999999999999996,5.680158939594471,0.0,0.0,0.0,0.0,26.81322654115815,26.81322654115815,0.0787993483722796,3.699419230349779,440.1162599795693,1.2243321515740258,0.0,0.0,0.0,0.0,0.0,0.0,35.254,2641.672
0.49999999999999994,7.101897516178962,0.0001805402389256729,-0.0003445832295155077,0.007207773685672483,-0.013759095408709763,30.056894975638745,30.056898989105406,0.08833334683463312,2.7879689327225123,552.965857230812,1.2241650289718995,-0.011389032488458285,2.1602606951850895e-06,-0.0217372750938721,-0.015433340823503616,-0.008084895671027277,-1.358368355478342e-20,35.163999999999994,2639.6980000000003
