# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,165006.23,92187.50,596.1688,0.4985,NaN,443.165,11000.0
0.1652,164075.04,91256.31,590.1443,0.4944,NaN,444.855,11000.0
0.3304,163143.86,90325.13,584.2550,0.4904,NaN,446.530,11000.0
0.4955,162212.67,89393.94,578.4988,0.4864,NaN,448.188,11000.0
0.6607,161281.48,88462.75,572.8733,0.4823,NaN,449.831,11000.0
0.8259,160350.30,87531.57,567.3764,0.4783,NaN,451.456,11000.0
0.9911,159419.11,86600.38,562.0059,0.4742,NaN,453.065,11000.0
1.1562,158487.92,85669.19,556.7595,0.4702,NaN,454.657,11000.0
1.3214,157556.74,84738.01,551.6349,0.4662,NaN,456.231,11000.0
1.4866,156625.55,83806.82,546.6298,0.4621,NaN,457.787,11000.0
1.6518,155694.36,82875.63,541.7420,0.4581,NaN,459.325,11000.0
1.8169,154763.18,81944.44,536.9691,0.4540,NaN,460.845,11000.0
1.9821,153831.99,81013.26,532.3089,0.4500,NaN,462.345,11000.0
2.1473,152900.80,80082.07,527.7589,0.4460,NaN,463.827,11000.0
2.3125,151969.61,79150.88,523.3169,0.4419,NaN,465.289,11000.0
2.4777,151038.43,78219.70,518.9805,0.4379,NaN,466.732,11000.0
2.6428,150107.24,77288.51,514.7474,0.4339,NaN,468.154,11000.0
2.8080,149176.05,76357.32,510.6150,0.4298,NaN,469.555,11000.0
2.9732,148244.87,75426.14,506.5811,0.4258,NaN,470.936,11000.0
3.1384,147313.68,74494.95,502.6432,0.4217,NaN,472.295,11000.0
3.3035,146382.49,73563.76,498.7989,0.4177,NaN,473.632,11000.0
3.4687,145451.31,72632.58,495.0458,0.4137,NaN,474.947,11000.0
3.6339,144520.12,71701.39,491.3814,0.4096,NaN,476.240,11000.0
3.7991,143588.93,70770.20,487.8033,0.4056,NaN,477.509,11000.0
3.9643,142657.75,69839.02,484.3090,0.4016,NaN,478.755,11000.0
4.1294,141726.56,68907.83,480.8960,0.3975,NaN,479.977,11000.0
4.2946,140795.37,67976.64,477.5621,0.3935,NaN,481.175,11000.0
4.4598,139864.19,67045.45,474.3074,0.3894,NaN,482.358,11000.0
4.6250,138933.00,66114.27,471.1316,0.3854,NaN,483.532,11000.0
4.7901,138001.81,65183.08,468.0335,0.3814,NaN,484.695,11000.0
4.9553,137070.62,64251.89,465.0117,0.3773,NaN,485.848,11000.0
5.1205,136139.44,63320.71,462.0652,0.3733,NaN,486.989,11000.0
5.2857,135208.25,62389.52,459.1925,0.3692,NaN,488.120,11000.0
5.4508,134277.06,61458.33,456.3925,0.3652,NaN,489.239,11000.0
5.6160,133345.88,60527.15,453.6639,0.3612,NaN,490.347,11000.0
5.7812,132414.69,59595.96,451.0054,0.3571,NaN,491.443,11000.0
5.9464,131483.50,58664.77,448.4157,0.3531,NaN,492.527,11000.0
6.1116,130552.32,57733.59,445.8934,0.3491,NaN,493.598,11000.0
6.2767,129621.13,56802.40,443.4373,0.3450,NaN,494.657,11000.0
6.4419,128689.94,55871.21,441.0460,0.3410,NaN,495.704,11000.0
6.6071,127758.76,54940.03,438.7182,0.3369,NaN,496.737,11000.0
6.7723,126827.57,54008.84,436.4526,0.3329,NaN,497.757,11000.0
6.9374,125896.38,53077.65,434.2476,0.3289,NaN,498.763,11000.0
7.1026,124965.20,52146.46,432.1021,0.3248,NaN,499.755,11000.0
7.2678,124034.01,51215.28,430.0145,0.3208,NaN,500.732,11000.0
7.4330,123102.82,50284.09,427.9834,0.3168,NaN,501.695,11000.0
7.5982,122171.63,49352.90,426.0075,0.3127,NaN,502.644,11000.0
7.7633,121240.45,48421.72,424.0852,0.3087,NaN,503.576,11000.0
7.9285,120309.26,47490.53,422.2151,0.3046,NaN,504.493,11000.0
8.0937,119378.07,46559.34,420.3957,0.3006,NaN,505.395,11000.0
8.2589,118446.89,45628.16,418.6255,0.2966,NaN,506.279,11000.0
8.4240,117515.70,44696.97,416.9029,0.2925,NaN,507.147,11000.0
8.5892,116584.51,43765.78,415.2266,0.2885,NaN,507.998,11000.0
8.7544,115653.33,42834.60,413.5947,0.2845,NaN,508.831,11000.0
8.9196,114722.14,41903.41,412.0059,0.2804,NaN,509.645,11000.0
9.0847,113790.95,40972.22,410.4585,0.2764,NaN,510.442,11000.0
9.2499,112859.77,40041.04,408.9507,0.2723,NaN,511.219,11000.0
9.4151,111928.58,39109.85,407.4811,0.2683,NaN,511.977,11000.0
9.5803,110997.39,38178.66,406.0479,0.2643,NaN,512.715,11000.0
9.7455,110066.21,37247.47,404.6494,0.2602,NaN,513.433,11000.0
9.9106,109135.02,36316.29,403.2838,0.2562,NaN,514.130,11000.0
10.0758,108203.83,35385.10,401.9494,0.2521,NaN,514.805,11000.0
10.2410,107272.64,34453.91,400.6445,0.2481,NaN,515.458,11000.0
10.4062,106341.46,33522.73,399.3671,0.2441,NaN,516.089,11000.0
10.5713,105410.27,32591.54,398.1154,0.2400,NaN,516.696,11000.0
10.7365,104479.08,31660.35,396.8875,0.2360,NaN,517.279,11000.0
10.9017,103547.90,30729.17,395.6815,0.2320,NaN,517.838,11000.0
11.0669,102616.71,29797.98,394.4954,0.2279,NaN,518.372,11000.0
11.2321,101685.52,28866.79,393.3273,0.2239,NaN,518.880,11000.0
11.3972,100754.34,27935.61,392.1749,0.2198,NaN,519.361,11000.0
11.5624,99823.15,27004.42,391.0364,0.2158,NaN,519.815,11000.0
11.7276,98891.96,26073.23,389.9095,0.2118,NaN,520.241,11000.0
11.8928,97960.78,25142.05,388.7920,0.2077,NaN,520.638,11000.0
12.0579,97029.59,24210.86,387.6817,0.2037,NaN,521.006,11000.0
12.2231,96098.40,23279.67,386.5764,0.1997,NaN,521.342,11000.0
12.3883,95167.22,22348.48,385.4736,0.1956,NaN,521.647,11000.0
12.5535,94236.03,21417.30,384.3710,0.1916,NaN,521.920,11000.0
12.7186,93304.84,20486.11,383.2662,0.1875,NaN,522.160,11000.0
12.8838,92373.65,19554.92,382.1566,0.1835,NaN,522.365,11000.0
13.0490,91442.47,18623.74,381.0395,0.1795,NaN,522.534,11000.0
13.2142,90511.28,17692.55,379.9125,0.1754,NaN,522.667,11000.0
13.3794,89580.09,16761.36,378.7726,0.1714,NaN,522.763,11000.0
13.5445,88648.91,15830.18,377.6172,0.1674,NaN,522.819,11000.0
13.7097,87717.72,14898.99,376.4434,0.1633,NaN,522.836,11000.0
13.8749,86786.53,13967.80,375.2480,0.1593,NaN,522.811,11000.0
14.0401,85855.35,13036.62,374.0282,0.1552,NaN,522.743,11000.0
14.2052,84924.16,12105.43,372.7808,0.1512,NaN,522.631,11000.0
14.3704,83992.97,11174.24,371.5024,0.1472,NaN,522.473,11000.0
14.5356,83061.79,10243.06,370.1897,0.1431,NaN,522.269,11000.0
14.7008,82130.60,9311.87,368.8392,0.1391,NaN,522.015,11000.0
14.8660,81199.41,8380.68,367.4474,0.1350,NaN,521.711,11000.0
15.0311,80268.23,7449.49,366.0105,0.1310,NaN,521.355,11000.0
15.1963,79337.04,6518.31,364.5247,0.1270,NaN,520.945,11000.0
15.3615,78405.85,5587.12,362.9859,0.1229,NaN,520.479,11000.0
15.5267,77474.67,4655.93,361.3901,0.1189,NaN,519.955,11000.0
15.6918,76543.48,3724.75,359.7328,0.1149,NaN,519.371,11000.0
15.8570,75612.29,2793.56,358.0097,0.1108,NaN,518.724,11000.0
16.0222,74681.10,1862.37,356.2161,0.1068,NaN,518.013,11000.0
16.1874,73749.92,931.19,354.3472,0.1027,NaN,517.235,11000.0
16.3525,72818.73,0.00,352.3979,0.0987,NaN,516.387,11000.0
16.3535,72818.73,0.00,352.3979,0.0987,NaN,516.387,0.0
616.3525,72818.73,0.00,352.3979,0.0987,NaN,516.387,0.0
