# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,98258.33,68146.97,2140.0000,0.50714,NaN,271.171,8000.0
0.1679,97569.97,67458.62,2119.5556,0.50359,NaN,272.546,8000.0
0.3358,96881.62,66770.26,2099.1111,0.50003,NaN,273.921,8000.0
0.5037,96193.27,66081.91,2078.6667,0.49648,NaN,275.297,8000.0
0.6716,95504.91,65393.56,2058.2222,0.49293,NaN,276.672,8000.0
0.8395,94816.56,64705.21,2037.7778,0.48937,NaN,278.047,8000.0
1.0073,94128.21,64016.85,2017.3333,0.48582,NaN,279.423,8000.0
1.1752,93439.85,63328.50,1996.8889,0.48227,NaN,280.798,8000.0
1.3431,92751.50,62640.15,1976.4444,0.47872,NaN,282.173,8000.0
1.5110,92063.15,61951.79,1956.0000,0.47516,NaN,283.549,8000.0
1.6789,91374.79,61263.44,1935.5556,0.47161,NaN,284.924,8000.0
1.8468,90686.44,60575.09,1915.1111,0.46806,NaN,286.299,8000.0
2.0147,89998.09,59886.73,1894.6667,0.46451,NaN,287.675,8000.0
2.1826,89309.73,59198.38,1874.2222,0.46095,NaN,289.050,8000.0
2.3505,88621.38,58510.03,1853.7778,0.45740,NaN,290.426,8000.0
2.5184,87933.03,57821.67,1833.3333,0.45385,NaN,291.801,8000.0
2.6863,87244.68,57133.32,1812.8889,0.45029,NaN,293.176,8000.0
2.8541,86556.32,56444.97,1792.4444,0.44674,NaN,294.552,8000.0
3.0220,85867.97,55756.61,1772.0000,0.44319,NaN,295.927,8000.0
3.1899,85179.62,55068.26,1751.5556,0.43964,NaN,297.302,8000.0
3.3578,84491.26,54379.91,1731.1111,0.43608,NaN,298.678,8000.0
3.5257,83802.91,53691.55,1710.6667,0.43253,NaN,300.053,8000.0
3.6936,83114.56,53003.20,1690.2222,0.42898,NaN,301.428,8000.0
3.8615,82426.20,52314.85,1669.7778,0.42542,NaN,302.804,8000.0
4.0294,81737.85,51626.49,1649.3333,0.42187,NaN,304.179,8000.0
4.1973,81049.50,50938.14,1628.8889,0.41832,NaN,305.555,8000.0
4.3652,80361.14,50249.79,1608.4444,0.41477,NaN,306.930,8000.0
4.5331,79672.79,49561.43,1588.0000,0.41121,NaN,308.305,8000.0
4.7009,78984.44,48873.08,1567.5556,0.40766,NaN,309.681,8000.0
4.8688,78296.08,48184.73,1547.1111,0.40411,NaN,311.056,8000.0
5.0367,77607.73,47496.37,1526.6667,0.40056,NaN,312.431,8000.0
5.2046,76919.38,46808.02,1506.2222,0.39700,NaN,313.807,8000.0
5.3725,76231.02,46119.67,1485.7778,0.39345,NaN,315.182,8000.0
5.5404,75542.67,45431.31,1465.3333,0.38990,NaN,316.557,8000.0
5.7083,74854.32,44742.96,1444.8889,0.38634,NaN,317.933,8000.0
5.8762,74165.96,44054.61,1424.4444,0.38279,NaN,319.308,8000.0
6.0441,73477.61,43366.25,1404.0000,0.37924,NaN,320.683,8000.0
6.2120,72789.26,42677.90,1383.5556,0.37569,NaN,322.059,8000.0
6.3799,72100.90,41989.55,1363.1111,0.37213,NaN,323.434,8000.0
6.5478,71412.55,41301.19,1342.6667,0.36858,NaN,324.810,8000.0
6.7156,70724.20,40612.84,1322.2222,0.36503,NaN,326.185,8000.0
6.8835,70035.84,39924.49,1301.7778,0.36147,NaN,327.560,8000.0
7.0514,69347.49,39236.13,1281.3333,0.35792,NaN,328.936,8000.0
7.2193,68659.14,38547.78,1260.8889,0.35437,NaN,330.311,8000.0
