# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,146264.47,113578.29,1130.0000,0.75491,NaN,321.438,26000.0
0.0861,145117.21,112431.03,1121.9091,0.74899,NaN,323.698,26000.0
0.1722,143969.96,111283.77,1113.8182,0.74307,NaN,325.959,26000.0
0.2583,142822.70,110136.52,1105.7273,0.73715,NaN,328.219,26000.0
0.3444,141675.45,108989.26,1097.6364,0.73123,NaN,330.480,26000.0
0.4305,140528.19,107842.01,1089.5455,0.72531,NaN,332.740,26000.0
0.5166,139380.94,106694.75,1081.4545,0.71938,NaN,335.001,26000.0
0.6027,138233.68,105547.50,1073.3636,0.71346,NaN,337.261,26000.0
0.6888,137086.43,104400.24,1065.2727,0.70754,NaN,339.522,26000.0
0.7749,135939.17,103252.99,1057.1818,0.70162,NaN,341.782,26000.0
0.8610,134791.92,102105.73,1049.0909,0.69570,NaN,344.043,26000.0
0.9471,133644.66,100958.48,1041.0000,0.68978,NaN,346.303,26000.0
1.0332,132497.40,99811.22,1032.9091,0.68386,NaN,348.564,26000.0
1.1193,131350.15,98663.97,1024.8182,0.67793,NaN,350.824,26000.0
1.2054,130202.89,97516.71,1016.7273,0.67201,NaN,353.085,26000.0
1.2915,129055.64,96369.45,1008.6364,0.66609,NaN,355.345,26000.0
1.3776,127908.38,95222.20,1000.5455,0.66017,NaN,357.606,26000.0
1.4637,126761.13,94074.94,992.4545,0.65425,NaN,359.866,26000.0
1.5498,125613.87,92927.69,984.3636,0.64833,NaN,362.126,26000.0
1.6359,124466.62,91780.43,976.2727,0.64241,NaN,364.387,26000.0
1.7220,123319.36,90633.18,968.1818,0.63649,NaN,366.647,26000.0
1.8081,122172.11,89485.92,960.0909,0.63056,NaN,368.908,26000.0
1.8942,121024.85,88338.67,952.0000,0.62464,NaN,371.168,26000.0
1.9803,119877.59,87191.41,943.9091,0.61872,NaN,373.429,26000.0
2.0664,118730.34,86044.16,935.8182,0.61280,NaN,375.689,26000.0
2.1524,117583.08,84896.90,927.7273,0.60688,NaN,377.950,26000.0
2.2385,116435.83,83749.64,919.6364,0.60096,NaN,380.210,26000.0
2.3246,115288.57,82602.39,911.5455,0.59504,NaN,382.471,26000.0
2.4107,114141.32,81455.13,903.4545,0.58912,NaN,384.731,26000.0
2.4968,112994.06,80307.88,895.3636,0.58319,NaN,386.992,26000.0
