# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,161898.75,89687.50,559.5104,0.4849,NaN,436.286,14000.0
0.1263,160992.81,88781.57,553.8954,0.4810,NaN,437.923,14000.0
0.2525,160086.88,87875.63,548.4061,0.4771,NaN,439.546,14000.0
0.3788,159180.94,86969.70,543.0408,0.4732,NaN,441.153,14000.0
0.5051,158275.01,86063.76,537.7972,0.4692,NaN,442.744,14000.0
0.6313,157369.08,85157.83,532.6733,0.4653,NaN,444.319,14000.0
0.7576,156463.14,84251.89,527.6671,0.4614,NaN,445.878,14000.0
0.8838,155557.21,83345.96,522.7764,0.4574,NaN,447.420,14000.0
1.0101,154651.27,82440.03,517.9993,0.4535,NaN,448.945,14000.0
1.1364,153745.34,81534.09,513.3335,0.4496,NaN,450.453,14000.0
1.2626,152839.40,80628.16,508.7769,0.4457,NaN,451.943,14000.0
1.3889,151933.47,79722.22,504.3275,0.4417,NaN,453.415,14000.0
1.5152,151027.54,78816.29,499.9830,0.4378,NaN,454.869,14000.0
1.6414,150121.60,77910.35,495.7414,0.4339,NaN,456.305,14000.0
1.7677,149215.67,77004.42,491.6003,0.4299,NaN,457.722,14000.0
1.8939,148309.73,76098.48,487.5578,0.4260,NaN,459.119,14000.0
2.0202,147403.80,75192.55,483.6115,0.4221,NaN,460.497,14000.0
2.1465,146497.86,74286.62,479.7592,0.4182,NaN,461.855,14000.0
2.2727,145591.93,73380.68,475.9988,0.4142,NaN,463.193,14000.0
2.3990,144685.99,72474.75,472.3280,0.4103,NaN,464.510,14000.0
2.5253,143780.06,71568.81,468.7446,0.4064,NaN,465.806,14000.0
2.6515,142874.13,70662.88,465.2463,0.4024,NaN,467.081,14000.0
2.7778,141968.19,69756.94,461.8308,0.3985,NaN,468.334,14000.0
2.9040,141062.26,68851.01,458.4960,0.3946,NaN,469.564,14000.0
3.0303,140156.32,67945.08,455.2395,0.3907,NaN,470.772,14000.0
3.1566,139250.39,67039.14,452.0590,0.3867,NaN,471.956,14000.0
3.2828,138344.45,66133.21,448.9524,0.3828,NaN,473.117,14000.0
3.4091,137438.52,65227.27,445.9196,0.3789,NaN,474.265,14000.0
3.5354,136532.59,64321.34,442.9600,0.3750,NaN,475.403,14000.0
3.6616,135626.65,63415.40,440.0727,0.3710,NaN,476.530,14000.0
3.7879,134720.72,62509.47,437.2563,0.3671,NaN,477.648,14000.0
3.9141,133814.78,61603.54,434.5099,0.3632,NaN,478.755,14000.0
4.0404,132908.85,60697.60,431.8321,0.3592,NaN,479.851,14000.0
4.1667,132002.91,59791.67,429.2219,0.3553,NaN,480.936,14000.0
