# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,166365.75,93281.25,612.6761,0.5044,NaN,446.170,10000.0
0.1839,165423.52,92339.02,606.4668,0.5003,NaN,447.883,10000.0
0.3677,164481.28,91396.78,600.3968,0.4962,NaN,449.581,10000.0
0.5516,163539.05,90454.55,594.4641,0.4921,NaN,451.262,10000.0
0.7354,162596.82,89512.31,588.6662,0.4880,NaN,452.927,10000.0
0.9193,161654.58,88570.08,583.0010,0.4839,NaN,454.574,10000.0
1.1031,160712.35,87627.84,577.4660,0.4799,NaN,456.205,10000.0
1.2870,159770.11,86685.61,572.0589,0.4758,NaN,457.818,10000.0
1.4708,158827.88,85743.37,566.7774,0.4717,NaN,459.414,10000.0
1.6547,157885.64,84801.14,561.6192,0.4676,NaN,460.991,10000.0
1.8385,156943.41,83858.90,556.5818,0.4635,NaN,462.550,10000.0
2.0224,156001.17,82916.67,551.6629,0.4594,NaN,464.090,10000.0
2.2062,155058.94,81974.43,546.8601,0.4553,NaN,465.612,10000.0
2.3901,154116.70,81032.20,542.1710,0.4513,NaN,467.114,10000.0
2.5739,153174.47,80089.96,537.5931,0.4472,NaN,468.596,10000.0
2.7578,152232.23,79147.73,533.1241,0.4431,NaN,470.058,10000.0
2.9416,151290.00,78205.49,528.7614,0.4390,NaN,471.499,10000.0
3.1255,150347.76,77263.26,524.5025,0.4349,NaN,472.919,10000.0
3.3093,149405.53,76321.02,520.3451,0.4308,NaN,474.319,10000.0
3.4932,148463.29,75378.79,516.2866,0.4267,NaN,475.696,10000.0
3.6770,147521.06,74436.55,512.3245,0.4227,NaN,477.052,10000.0
3.8609,146578.82,73494.32,508.4564,0.4186,NaN,478.384,10000.0
4.0447,145636.59,72552.08,504.6796,0.4145,NaN,479.694,10000.0
4.2286,144694.35,71609.85,500.9916,0.4104,NaN,480.981,10000.0
4.4124,143752.12,70667.61,497.3899,0.4063,NaN,482.243,10000.0
4.5963,142809.88,69725.38,493.8720,0.4022,NaN,483.481,10000.0
4.7801,141867.65,68783.14,490.4354,0.3981,NaN,484.695,10000.0
4.9640,140925.41,67840.91,487.0805,0.3941,NaN,485.895,10000.0
5.1478,139983.18,66898.67,483.8070,0.3900,NaN,487.084,10000.0
5.3317,139040.94,65956.44,480.6137,0.3859,NaN,488.263,10000.0
5.5155,138098.71,65014.20,477.4992,0.3818,NaN,489.430,10000.0
5.6994,137156.47,64071.97,474.4623,0.3777,NaN,490.587,10000.0
5.8832,136214.24,63129.73,471.5016,0.3736,NaN,491.733,10000.0
6.0671,135272.00,62187.50,468.6160,0.3695,NaN,492.867,10000.0
6.2509,134329.77,61245.27,465.8039,0.3655,NaN,493.989,10000.0
6.4348,133387.53,60303.03,463.0642,0.3614,NaN,495.100,10000.0
6.6186,132445.30,59360.80,460.3954,0.3573,NaN,496.198,10000.0
6.8025,131503.07,58418.56,457.7962,0.3532,NaN,497.284,10000.0
6.9863,130560.83,57476.33,455.2653,0.3491,NaN,498.357,10000.0
7.1702,129618.60,56534.09,452.8012,0.3450,NaN,499.417,10000.0
7.3540,128676.36,55591.86,450.4026,0.3409,NaN,500.464,10000.0
7.5379,127734.13,54649.62,448.0681,0.3369,NaN,501.497,10000.0
7.7217,126791.89,53707.39,445.7962,0.3328,NaN,502.516,10000.0
7.9056,125849.66,52765.15,443.5855,0.3287,NaN,503.521,10000.0
8.0894,124907.42,51822.92,441.4345,0.3246,NaN,504.512,10000.0
8.2733,123965.19,50880.68,439.3419,0.3205,NaN,505.487,10000.0
8.4571,123022.95,49938.45,437.3060,0.3164,NaN,506.448,10000.0
8.6410,122080.72,48996.21,435.3255,0.3123,NaN,507.393,10000.0
8.8248,121138.48,48053.98,433.3987,0.3083,NaN,508.322,10000.0
9.0087,120196.25,47111.74,431.5242,0.3042,NaN,509.234,10000.0
9.1925,119254.01,46169.51,429.7004,0.3001,NaN,510.130,10000.0
9.3764,118311.78,45227.27,427.9256,0.2960,NaN,511.009,10000.0
9.5602,117369.54,44285.04,426.1984,0.2919,NaN,511.870,10000.0
9.7441,116427.31,43342.80,424.5171,0.2878,NaN,512.714,10000.0
9.9279,115485.07,42400.57,422.8800,0.2837,NaN,513.539,10000.0
10.1118,114542.84,41458.33,421.2855,0.2797,NaN,514.345,10000.0
10.2956,113600.60,40516.10,419.7320,0.2756,NaN,515.132,10000.0
10.4795,112658.37,39573.86,418.2175,0.2715,NaN,515.899,10000.0
10.6633,111716.13,38631.63,416.7406,0.2674,NaN,516.646,10000.0
10.8472,110773.90,37689.39,415.2992,0.2633,NaN,517.372,10000.0
11.0310,109831.66,36747.16,413.8918,0.2592,NaN,518.077,10000.0
11.2149,108889.43,35804.92,412.5164,0.2551,NaN,518.760,10000.0
