# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,75505.26,45431.31,276.0000,0.38970,NaN,240.956,8000.0
0.1119,75046.35,44972.41,273.8253,0.38734,NaN,241.762,8000.0
0.2239,74587.45,44513.51,271.6505,0.38497,NaN,242.569,8000.0
0.3358,74128.55,44054.61,269.4758,0.38260,NaN,243.376,8000.0
0.4477,73669.65,43595.71,267.3010,0.38023,NaN,244.183,8000.0
0.5596,73210.75,43136.80,265.1263,0.37786,NaN,244.989,8000.0
0.6716,72751.84,42677.90,262.9515,0.37549,NaN,245.796,8000.0
0.7835,72292.94,42219.00,260.7768,0.37312,NaN,246.603,8000.0
0.8954,71834.04,41760.10,258.6020,0.37076,NaN,247.410,8000.0
1.0073,71375.14,41301.19,256.4273,0.36839,NaN,248.216,8000.0
1.1193,70916.23,40842.29,254.2525,0.36602,NaN,249.023,8000.0
1.2312,70457.33,40383.39,252.0778,0.36365,NaN,249.830,8000.0
1.3431,69998.43,39924.49,249.9030,0.36128,NaN,250.637,8000.0
1.4551,69539.53,39465.59,247.7283,0.35891,NaN,251.444,8000.0
1.5670,69080.63,39006.68,245.5535,0.35654,NaN,252.250,8000.0
1.6789,68621.72,38547.78,243.3788,0.35418,NaN,253.057,8000.0
1.7908,68162.82,38088.88,241.2040,0.35181,NaN,253.864,8000.0
1.9028,67703.92,37629.98,239.0293,0.34944,NaN,254.671,8000.0
2.0147,67245.02,37171.08,236.8545,0.34707,NaN,255.477,8000.0
2.1266,66786.12,36712.17,234.6798,0.34470,NaN,256.284,8000.0
2.2385,66327.21,36253.27,232.5051,0.34233,NaN,257.091,8000.0
2.3505,65868.31,35794.37,230.3303,0.33996,NaN,257.898,8000.0
2.4624,65409.41,35335.47,228.1556,0.33760,NaN,258.704,8000.0
2.5743,64950.51,34876.56,225.9808,0.33523,NaN,259.511,8000.0
2.6863,64491.60,34417.66,223.8061,0.33286,NaN,260.318,8000.0
2.7982,64032.70,33958.76,221.6313,0.33049,NaN,261.125,8000.0
2.9101,63573.80,33499.86,219.4566,0.32812,NaN,261.931,8000.0
3.0220,63114.90,33040.96,217.2818,0.32575,NaN,262.738,8000.0
3.1340,62656.00,32582.05,215.1071,0.32339,NaN,263.545,8000.0
3.2459,62197.09,32123.15,212.9323,0.32102,NaN,264.352,8000.0
3.3578,61738.19,31664.25,210.7576,0.31865,NaN,265.159,8000.0
3.4697,61279.29,31205.35,208.5828,0.31628,NaN,265.965,8000.0
3.5817,60820.39,30746.44,206.4081,0.31391,NaN,266.772,8000.0
3.6936,60361.48,30287.54,204.2333,0.31154,NaN,267.579,8000.0
3.8055,59902.58,29828.64,202.0586,0.30917,NaN,268.386,8000.0
3.9175,59443.68,29369.74,199.8838,0.30681,NaN,269.192,8000.0
4.0294,58984.78,28910.84,197.7091,0.30444,NaN,269.999,8000.0
4.1413,58525.88,28451.93,195.5343,0.30207,NaN,270.806,8000.0
4.2532,58066.97,27993.03,193.3596,0.29970,NaN,271.613,8000.0
4.3652,57608.07,27534.13,191.1848,0.29733,NaN,272.419,8000.0
4.4771,57149.17,27075.23,189.0101,0.29496,NaN,273.226,8000.0
4.5890,56690.27,26616.33,186.8354,0.29259,NaN,274.033,8000.0
4.7009,56231.37,26157.42,184.6606,0.29023,NaN,274.840,8000.0
4.8129,55772.46,25698.52,182.4859,0.28786,NaN,275.647,8000.0
4.9248,55313.56,25239.62,180.3111,0.28549,NaN,276.453,8000.0
5.0367,54854.66,24780.72,178.1364,0.28312,NaN,277.260,8000.0
5.1487,54395.76,24321.81,175.9616,0.28075,NaN,278.067,8000.0
5.2606,53936.85,23862.91,173.7869,0.27838,NaN,278.874,8000.0
5.3725,53477.95,23404.01,171.6121,0.27601,NaN,279.680,8000.0
5.4844,53019.05,22945.11,169.4374,0.27365,NaN,280.487,8000.0
5.5964,52560.15,22486.21,167.2626,0.27128,NaN,281.294,8000.0
5.7083,52101.25,22027.30,165.0879,0.26891,NaN,282.101,8000.0
5.8202,51642.34,21568.40,162.9131,0.26654,NaN,282.907,8000.0
5.9321,51183.44,21109.50,160.7384,0.26417,NaN,283.714,8000.0
6.0441,50724.54,20650.60,158.5636,0.26180,NaN,284.521,8000.0
6.1560,50265.64,20191.70,156.3889,0.25944,NaN,285.328,8000.0
6.2679,49806.73,19732.79,154.2141,0.25707,NaN,286.134,8000.0
6.3799,49347.83,19273.89,152.0394,0.25470,NaN,286.941,8000.0
6.4918,48888.93,18814.99,149.8646,0.25233,NaN,287.748,8000.0
6.6037,48430.03,18356.09,147.6899,0.24996,NaN,288.555,8000.0
6.7156,47971.13,17897.18,145.5152,0.24759,NaN,289.362,8000.0
6.8276,47512.22,17438.28,143.3404,0.24522,NaN,290.168,8000.0
6.9395,47053.32,16979.38,141.1657,0.24286,NaN,290.975,8000.0
7.0514,46594.42,16520.48,138.9909,0.24049,NaN,291.782,8000.0
7.1634,46135.52,16061.58,136.8162,0.23812,NaN,292.589,8000.0
7.2753,45676.62,15602.67,134.6414,0.23575,NaN,293.395,8000.0
7.3872,45217.71,15143.77,132.4667,0.23338,NaN,294.202,8000.0
7.4991,44758.81,14684.87,130.2919,0.23101,NaN,295.009,8000.0
7.6111,44299.91,14225.97,128.1172,0.22864,NaN,295.816,8000.0
7.7230,43841.01,13767.06,125.9424,0.22628,NaN,296.622,8000.0
7.8349,43382.10,13308.16,123.7677,0.22391,NaN,297.429,8000.0
7.9468,42923.20,12849.26,121.5929,0.22154,NaN,298.236,8000.0
8.0588,42464.30,12390.36,119.4182,0.21917,NaN,299.043,8000.0
8.1707,42005.40,11931.46,117.2434,0.21680,NaN,299.849,8000.0
8.2826,41546.50,11472.55,115.0687,0.21443,NaN,300.656,8000.0
8.3946,41087.59,11013.65,112.8939,0.21206,NaN,301.463,8000.0
8.5065,40628.69,10554.75,110.7192,0.20970,NaN,302.270,8000.0
8.6184,40169.79,10095.85,108.5444,0.20733,NaN,303.077,8000.0
8.7303,39710.89,9636.95,106.3697,0.20496,NaN,303.883,8000.0
8.8423,39251.99,9178.04,104.1949,0.20259,NaN,304.690,8000.0
8.9542,38793.08,8719.14,102.0202,0.20022,NaN,305.497,8000.0
9.0661,38334.18,8260.24,99.8455,0.19785,NaN,306.304,8000.0
9.1780,37875.28,7801.34,97.6707,0.19548,NaN,307.110,8000.0
9.2900,37416.38,7342.43,95.4960,0.19312,NaN,307.917,8000.0
9.4019,36957.47,6883.53,93.3212,0.19075,NaN,308.724,8000.0
