Mach,Alpha,CD Power-Off,CD Power-On,CL,CP
0.01,0.0,0.6450708199060082,0.6450708199060082,0.0,197.44888378920604
0.02,0.0,0.649064178522334,0.649064178522334,0.0,197.44888378920604
0.03,0.0,0.6389994969494394,0.6389994969494394,0.0,197.44888378920604
0.04,0.0,0.6289491851908833,0.6289491851908833,0.0,197.44888378920604
0.05,0.0,0.620129537708152,0.620129537708152,0.0,197.44888378920604
0.06,0.0,0.6124898136228375,0.6124898136228375,0.0,197.44888378920604
0.07,0.0,0.605828937152382,0.605828937152382,0.0,197.44888378920604
0.08,0.0,0.5999620415039398,0.5999620415039398,0.0,197.44888378920604
0.09,0.0,0.5947415251071427,0.5947415251071427,0.0,197.44888378920604
0.1,0.0,0.5900541043521138,0.5900541043521138,0.0,197.44888378920604
0.11,0.0,0.5898820934779515,0.5898820934779515,0.0,197.44888378920604
0.12,0.0,0.5897920802524569,0.5897920802524569,0.0,197.44888378920604
0.13,0.0,0.5897022472428788,0.5897022472428788,0.0,197.44888378920604
0.14,0.0,0.5896125938086286,0.5896125938086286,0.0,197.44888378920604
0.15,0.0,0.589523119312267,0.589523119312267,0.0,197.44888378920604
0.16,0.0,0.5894338231194892,0.5894338231194892,0.0,197.44888378920604
0.17,0.0,0.5893447045991027,0.5893447045991027,0.0,197.44888378920604
0.18,0.0,0.5892557631230046,0.5892557631230046,0.0,197.44888378920604
0.19,0.0,0.5891669980661762,0.5891669980661762,0.0,197.44888378920604
0.2,0.0,0.5890784088066506,0.5890784088066506,0.0,197.44888378920604
0.21,0.0,0.5889899947255028,0.5889899947255028,0.0,197.44888378920604
0.22,0.0,0.5889017552068305,0.5889017552068305,0.0,197.44888378920604
0.23,0.0,0.5888136896377343,0.5888136896377343,0.0,197.44888378920604
0.24,0.0,0.5887257974083012,0.5887257974083012,0.0,197.44888378920604
0.25,0.0,0.5886380779115871,0.5886380779115871,0.0,197.44888378920604
0.26,0.0,0.5888425876042536,0.5888425876042536,0.0,197.44888378920604
0.27,0.0,0.589047268824586,0.589047268824586,0.0,197.44888378920604
0.28,0.0,0.5892521209744411,0.5892521209744411,0.0,197.44888378920604
0.29,0.0,0.5894571434585733,0.5894571434585733,0.0,197.44888378920604
0.3,0.0,0.5896623356846211,0.5896623356846211,0.0,197.44888378920604
0.31,0.0,0.5898676740629397,0.5898676740629397,0.0,197.44888378920604
0.32,0.0,0.5900732083492342,0.5900732083492342,0.0,197.44888378920604
0.33,0.0,0.5902789062754173,0.5902789062754173,0.0,197.44888378920604
0.34,0.0,0.5904847716025473,0.5904847716025473,0.0,197.44888378920604
0.35,0.0,0.5906908037524162,0.5906908037524162,0.0,197.44888378920604
0.36,0.0,0.5908970021496021,0.5908970021496021,0.0,197.44888378920604
0.37,0.0,0.5911033432212977,0.5911033432212977,0.0,197.44888378920604
0.38,0.0,0.5913098723978879,0.5913098723978879,0.0,197.44888378920604
0.39,0.0,0.5915165661120464,0.5915165661120464,0.0,197.44888378920604
0.4,0.0,0.5917234237993154,0.5917234237993154,0.0,197.44888378920604
0.41,0.0,0.5919304448979333,0.5919304448979333,0.0,197.44888378920604
0.42,0.0,0.5921376058486756,0.5921376058486756,0.0,197.44888378920604
0.43,0.0,0.5923449520954356,0.5923449520954356,0.0,197.44888378920604
0.44,0.0,0.5925524644263739,0.5925524644263739,0.0,197.44888378920604
0.45,0.0,0.5927601336062505,0.5927601336062505,0.0,197.44888378920604
0.46,0.0,0.5929679634286376,0.5929679634286376,0.0,197.44888378920604
0.47,0.0,0.5931759533476487,0.5931759533476487,0.0,197.44888378920604
0.48,0.0,0.5933840798198444,0.5933840798198444,0.0,197.44888378920604
0.49,0.0,0.5935923883048051,0.5935923883048051,0.0,197.44888378920604
0.5,0.0,0.5938008552642278,0.5938008552642278,0.0,197.44888378920604
0.51,0.0,0.5940094801625052,0.5940094801625052,0.0,197.44888378920604
0.52,0.0,0.5942182668086247,0.5942182668086247,0.0,197.44888378920604
0.53,0.0,0.5944272016458396,0.5944272016458396,0.0,197.44888378920604
0.54,0.0,0.5946362785141972,0.5946362785141972,0.0,197.44888378920604
0.55,0.0,0.5948455255201741,0.5948455255201741,0.0,197.44888378920604
0.56,0.0,0.5950549365087782,0.5950549365087782,0.0,197.44888378920604
0.57,0.0,0.5952644979331876,0.5952644979331876,0.0,197.44888378920604
0.58,0.0,0.5954741906171264,0.5954741906171264,0.0,197.44888378920604
0.59,0.0,0.5956840600451292,0.5956840600451292,0.0,197.44888378920604
0.6,0.0,0.5958940827037054,0.5958940827037054,0.0,197.44888378920604
0.61,0.0,0.5966327477017138,0.5966327477017138,0.0,197.44888378920604
0.62,0.0,0.597352572048862,0.597352572048862,0.0,197.44888378920604
0.63,0.0,0.598072571101058,0.598072571101058,0.0,197.44888378920604
0.64,0.0,0.5987926983541916,0.5987926983541916,0.0,197.44888378920604
0.65,0.0,0.5995129763069379,0.5995129763069379,0.0,197.44888378920604
0.66,0.0,0.6002334318023728,0.6002334318023728,0.0,197.44888378920604
0.67,0.0,0.6009540326594074,0.6009540326594074,0.0,197.44888378920604
0.68,0.0,0.6016747597254483,0.6016747597254483,0.0,197.44888378920604
0.69,0.0,0.6023956585085742,0.6023956585085742,0.0,197.44888378920604
0.7,0.0,0.6031166825185563,0.6031166825185563,0.0,197.44888378920604
0.71,0.0,0.6038378816100833,0.6038378816100833,0.0,197.44888378920604
0.72,0.0,0.6045592006133199,0.6045592006133199,0.0,197.44888378920604
0.73,0.0,0.6052806850453922,0.6052806850453922,0.0,197.44888378920604
0.74,0.0,0.6060022971091826,0.6060022971091826,0.0,197.44888378920604
0.75,0.0,0.6067240593261105,0.6067240593261105,0.0,197.44888378920604
0.76,0.0,0.6074460085358212,0.6074460085358212,0.0,197.44888378920604
0.77,0.0,0.6081680566054505,0.6081680566054505,0.0,197.44888378920604
0.78,0.0,0.6088902720632817,0.6088902720632817,0.0,197.44888378920604
0.79,0.0,0.6096126084390295,0.6096126084390295,0.0,197.44888378920604
0.8,0.0,0.6103350882649984,0.6103350882649984,0.0,197.44888378920604
0.81,0.0,0.6110577340756372,0.6110577340756372,0.0,197.44888378920604
0.82,0.0,0.6117804994070791,0.6117804994070791,0.0,197.44888378920604
0.83,0.0,0.6125034297981646,0.6125034297981646,0.0,197.44888378920604
0.84,0.0,0.6132264787892447,0.6132264787892447,0.0,197.44888378920604
0.85,0.0,0.6139496919233574,0.6139496919233574,0.0,197.44888378920604
0.86,0.0,0.6146730227450277,0.6146730227450277,0.0,197.44888378920604
0.87,0.0,0.6153965211435022,0.6153965211435022,0.0,197.44888378920604
0.88,0.0,0.6161201549834535,0.6161201549834535,0.0,197.44888378920604
0.89,0.0,0.6168439051577878,0.6168439051577878,0.0,197.44888378920604
0.9,0.0,0.6175678172198221,0.6175678172198221,0.0,197.44888378920604
0.91,0.0,0.6217672783769166,0.6217672783769166,0.0,197.5532183720805
0.92,0.0,0.6343656618482011,0.6343656618482011,0.0,197.65755295495546
0.93,0.0,0.6502592288465205,0.6502592288465205,0.0,197.7618875378304
0.94,0.0,0.6631487876362319,0.6631487876362319,0.0,197.8662221207054
0.95,0.0,0.6760383464259432,0.6760383464259432,0.0,197.97055670358034
0.96,0.0,0.6889279052156545,0.6889279052156545,0.0,198.0748912864553
0.97,0.0,0.7018174640053667,0.7018174640053667,0.0,198.17922586933028
0.98,0.0,0.714707022795078,0.714707022795078,0.0,198.28356045220522
0.99,0.0,0.7275965815847895,0.7275965815847895,0.0,198.38789503508016
1.0,0.0,0.7404861403745016,0.7404861403745016,0.0,198.49222961795516
1.01,0.0,0.7533756991642131,0.7533756991642131,0.0,198.5965642008301
1.02,0.0,0.7662652579539243,0.7662652579539243,0.0,198.70089878370507
1.03,0.0,0.7791548167436357,0.7791548167436357,0.0,198.80523336658004
1.04,0.0,0.792044375533348,0.792044375533348,0.0,198.90956794945498
1.05,0.0,0.8049339343230594,0.8049339343230594,0.0,199.01390253232972
1.06,0.0,0.8028830050142461,0.8028830050142461,0.0,199.25144751051954
1.07,0.0,0.8008570498281258,0.8008570498281258,0.0,199.47044550541202
1.08,0.0,0.7988553460131267,0.7988553460131267,0.0,199.67482406271463
1.09,0.0,0.7968772133038806,0.7968772133038806,0.0,199.86734338895582
1.1,0.0,0.7949219938526645,0.7949219938526645,0.0,200.04998015675514
1.11,0.0,0.7929890521667635,0.7929890521667635,0.0,200.22432592107575
1.12,0.0,0.791077745051403,0.791077745051403,0.0,200.39135590997944
1.13,0.0,0.789187501557965,0.789187501557965,0.0,200.55210401467943
1.14,0.0,0.7873177429371165,0.7873177429371165,0.0,200.70732908046296
1.15,0.0,0.7854678925966112,0.7854678925966112,0.0,200.857563337627
1.16,0.0,0.7827458253103087,0.7827458253103087,0.0,201.00343334714918
1.17,0.0,0.7800137194192782,0.7800137194192782,0.0,201.1452318767924
1.18,0.0,0.7773037446189336,0.7773037446189336,0.0,201.16454095530227
1.19,0.0,0.7745093298635675,0.7745093298635675,0.0,201.07422792037278
1.2,0.0,0.7714595447440603,0.7714595447440603,0.0,200.98549206716112
1.21,0.0,0.768433894002687,0.768433894002687,0.0,200.89816226909426
1.22,0.0,0.7654320197349576,0.7654320197349576,0.0,200.81216646033357
1.23,0.0,0.7624661079825279,0.7624661079825279,0.0,200.7274021882102
1.24,0.0,0.7595338223036887,0.7595338223036887,0.0,200.64370026151934
1.25,0.0,0.7566311200376946,0.7566311200376946,0.0,200.56103492351403
1.26,0.0,0.7537562869790198,0.7537562869790198,0.0,200.47938075746492
1.27,0.0,0.7509083364991331,0.7509083364991331,0.0,200.3985521101316
1.28,0.0,0.7480864201609123,0.7480864201609123,0.0,200.31860199111117
1.29,0.0,0.7452898504587927,0.7452898504587927,0.0,200.2393919234441
1.3,0.0,0.7425178112265254,0.7425178112265254,0.0,200.16094528648892
1.31,0.0,0.739770081094185,0.739770081094185,0.0,200.0831417049199
1.32,0.0,0.7370458278295599,0.7370458278295599,0.0,200.00599718778358
1.33,0.0,0.7343448084341058,0.7343448084341058,0.0,199.9294769997635
1.34,0.0,0.7316663925358149,0.7316663925358149,0.0,199.85351923499485
1.35,0.0,0.7290103677966315,0.7290103677966315,0.0,199.77807376481647
1.36,0.0,0.7263761366092335,0.7263761366092335,0.0,199.70311729611169
1.37,0.0,0.7237634436564546,0.7237634436564546,0.0,199.6286341069742
1.38,0.0,0.7211719240640236,0.7211719240640236,0.0,199.55466514613678
1.39,0.0,0.7186012419753576,0.7186012419753576,0.0,199.48105903793552
1.4,0.0,0.7160509794325298,0.7160509794325298,0.0,199.407896875917
1.41,0.0,0.7135208154847694,0.7135208154847694,0.0,199.33506161771928
1.42,0.0,0.7110104354683296,0.7110104354683296,0.0,199.2626296565127
1.43,0.0,0.7085196704182338,0.7085196704182338,0.0,199.1905289476148
1.44,0.0,0.7060481265821174,0.7060481265821174,0.0,199.07236408448279
1.45,0.0,0.7035955250153071,0.7035955250153071,0.0,198.93703672846888
1.46,0.0,0.7011616012398252,0.7011616012398252,0.0,198.80242070236278
1.47,0.0,0.6987460049550842,0.6987460049550842,0.0,198.66844420810642
1.48,0.0,0.6963486697909739,0.6963486697909739,0.0,198.5351120444736
1.49,0.0,0.693969173094299,0.693969173094299,0.0,198.40231129459127
1.5,0.0,0.6916072757446035,0.6916072757446035,0.0,198.27009350617774
1.51,0.0,0.6892628319928146,0.6892628319928146,0.0,198.13846599467362
1.52,0.0,0.6869355493192499,0.6869355493192499,0.0,198.00734097352824
1.53,0.0,0.6846252783085967,0.6846252783085967,0.0,197.87672532335876
1.54,0.0,0.6823316325378972,0.6823316325378972,0.0,197.74656412064962
1.55,0.0,0.6800545984772226,0.6800545984772226,0.0,197.61684941131676
1.56,0.0,0.67779377539894,0.67779377539894,0.0,197.48761410607264
1.57,0.0,0.6755491652967786,0.6755491652967786,0.0,197.35881065518817
1.58,0.0,0.6733203928107045,0.6733203928107045,0.0,197.23040067980094
1.59,0.0,0.6711073651592271,0.6711073651592271,0.0,197.10235379177658
1.6,0.0,0.6689098120759805,0.6689098120759805,0.0,196.97469930996806
1.61,0.0,0.6667276557515811,0.6667276557515811,0.0,196.84743541474543
1.62,0.0,0.6645606207787327,0.6645606207787327,0.0,196.72052581275116
1.63,0.0,0.6624086441013705,0.6624086441013705,0.0,196.59389457975502
1.64,0.0,0.6602713749659617,0.6602713749659617,0.0,196.46763423437358
1.65,0.0,0.6581488448763241,0.6581488448763241,0.0,196.3416792302784
1.66,0.0,0.6560408075494509,0.6560408075494509,0.0,196.21602395302855
1.67,0.0,0.6539470188740636,0.6539470188740636,0.0,196.090673871031
1.68,0.0,0.6518675368707928,0.6518675368707928,0.0,195.9655934652749
1.69,0.0,0.6498020116529413,0.6498020116529413,0.0,195.8407617270935
1.7,0.0,0.647750405389669,0.647750405389669,0.0,195.71618279079638
1.71,0.0,0.6457125022692156,0.6457125022692156,0.0,195.5919010398126
1.72,0.0,0.643688148463757,0.643688148463757,0.0,195.4677635690893
1.73,0.0,0.6416773420948152,0.6416773420948152,0.0,195.3439459466365
1.74,0.0,0.6396798431991133,0.6396798431991133,0.0,195.220305197599
1.75,0.0,0.6376956436956774,0.6376956436956774,0.0,195.09687082497604
1.76,0.0,0.6357244273526937,0.6357244273526937,0.0,194.97367247855067
1.77,0.0,0.6337661697558118,0.6337661697558118,0.0,194.85070048168373
1.78,0.0,0.6318207682760121,0.6318207682760121,0.0,194.72784779926442
1.79,0.0,0.6298881120383,0.6298881120383,0.0,194.60521904101577
1.8,0.0,0.6279680118905626,0.6279680118905626,0.0,194.48277817109087
1.81,0.0,0.6260604403730902,0.6260604403730902,0.0,194.36045123660668
1.82,0.0,0.6241653316878731,0.6241653316878731,0.0,194.23830916306832
1.83,0.0,0.6222824616684279,0.6222824616684279,0.0,194.1163324936308
1.84,0.0,0.6203287739711081,0.6203287739711081,0.0,193.99589527729603
1.85,0.0,0.6181490100085274,0.6181490100085274,0.0,193.87776013145705
1.86,0.0,0.6159785161953587,0.6159785161953587,0.0,193.75695373895687
1.87,0.0,0.6138171665963224,0.6138171665963224,0.0,193.6336658104149
1.88,0.0,0.6116648371390916,0.6116648371390916,0.0,193.50784374357804
1.89,0.0,0.6095213755871819,0.6095213755871819,0.0,193.37958361484857
1.9,0.0,0.607386673945255,0.607386673945255,0.0,193.2489823147856
1.91,0.0,0.6052605252577754,0.6052605252577754,0.0,193.11594921315205
1.92,0.0,0.6031428848130937,0.6031428848130937,0.0,192.98066166570155
1.93,0.0,0.6010335512427969,0.6010335512427969,0.0,192.843143780869
1.94,0.0,0.5989324246534787,0.5989324246534787,0.0,192.70346497223684
1.95,0.0,0.5968394766088884,0.5968394766088884,0.0,192.56166789117887
1.96,0.0,0.594754411786912,0.594754411786912,0.0,192.41780412976897
1.97,0.0,0.5926773361928717,0.5926773361928717,0.0,192.27190742409024
1.98,0.0,0.5906080282308095,0.5906080282308095,0.0,192.12409697027422
1.99,0.0,0.5885463070054276,0.5885463070054276,0.0,191.97434768005215
2.0,0.0,0.586492175519153,0.586492175519153,0.0,191.8227650922641
2.01,0.0,0.5846786459418405,0.5846786459418405,0.0,191.66937395526503
2.02,0.0,0.5828637812290806,0.5828637812290806,0.0,191.5142674301507
2.03,0.0,0.5810598118314771,0.5810598118314771,0.0,191.3574616069969
2.04,0.0,0.5792665198609587,0.5792665198609587,0.0,191.1990082893277
2.05,0.0,0.5774837691635046,0.5774837691635046,0.0,191.03896181694282
2.06,0.0,0.5757114287183948,0.5757114287183948,0.0,190.87730172912612
2.07,0.0,0.5739494894952598,0.5739494894952598,0.0,190.71418415204187
2.08,0.0,0.572197625358464,0.572197625358464,0.0,190.5496575464517
2.09,0.0,0.5704559124881438,0.5704559124881438,0.0,190.38368824283089
2.1,0.0,0.5687240516325757,0.5687240516325757,0.0,190.21634732480388
2.11,0.0,0.567001924215014,0.567001924215014,0.0,190.04763615239904
2.12,0.0,0.5652896346242968,0.5652896346242968,0.0,189.87772594831227
2.13,0.0,0.5635868805427222,0.5635868805427222,0.0,189.70646776795712
2.14,0.0,0.5618935414739424,0.5618935414739424,0.0,189.53414261767423
2.15,0.0,0.5602095382477079,0.5602095382477079,0.0,189.3605774291818
2.16,0.0,0.5585348747230687,0.5585348747230687,0.0,189.18587831291484
2.17,0.0,0.5568692572296279,0.5568692572296279,0.0,189.01007711106035
2.18,0.0,0.5552127836222371,0.5552127836222371,0.0,188.83320223179683
2.19,0.0,0.5535652832336215,0.5535652832336215,0.0,188.65538586075007
2.2,0.0,0.5519265580694527,0.5519265580694527,0.0,188.47657420727495
2.21,0.0,0.5502966210588367,0.5502966210588367,0.0,188.29675257065142
2.22,0.0,0.5486754072490593,0.5486754072490593,0.0,188.11605778123337
2.23,0.0,0.547062723720084,0.547062723720084,0.0,187.93445130938812
2.24,0.0,0.5454585887124619,0.5454585887124619,0.0,187.75199471599183
2.25,0.0,0.5438628523736272,0.5438628523736272,0.0,187.5686746504729
2.26,0.0,0.5422754055216167,0.5422754055216167,0.0,187.38458577338295
2.27,0.0,0.5406962007812384,0.5406962007812384,0.0,187.19967232065773
2.28,0.0,0.5391252528892192,0.5391252528892192,0.0,187.0140947447834
2.29,0.0,0.5375623071070345,0.5375623071070345,0.0,186.82777958818585
2.3,0.0,0.536007389214816,0.536007389214816,0.0,186.64073059650534
2.31,0.0,0.5344604284331712,0.5344604284331712,0.0,186.45304723914256
2.32,0.0,0.5329213629138728,0.5329213629138728,0.0,186.2647491217825
2.33,0.0,0.5313900333981019,0.5313900333981019,0.0,186.07578647055112
2.34,0.0,0.529866380970508,0.529866380970508,0.0,185.88624819445573
2.35,0.0,0.5283504284612964,0.5283504284612964,0.0,185.69611975879982
2.36,0.0,0.5268421382864983,0.5268421382864983,0.0,185.50550467556155
2.37,0.0,0.5253412345460964,0.5253412345460964,0.0,185.3143019783923
2.38,0.0,0.5238477743136392,0.5238477743136392,0.0,185.12263297289746
2.39,0.0,0.522361791433067,0.522361791433067,0.0,184.93044438634539
2.4,0.0,0.5208830346964767,0.5208830346964767,0.0,184.7378023063165
2.41,0.0,0.5194115510046429,0.5194115510046429,0.0,184.54468239919612
2.42,0.0,0.5179472893928759,0.5179472893928759,0.0,184.35116304471632
2.43,0.0,0.5164901089929301,0.5164901089929301,0.0,184.15724089394692
2.44,0.0,0.5150400303188768,0.5150400303188768,0.0,183.96287648180711
2.45,0.0,0.513597023937797,0.513597023937797,0.0,183.76820781423197
2.46,0.0,0.5121608511028345,0.5121608511028345,0.0,183.57316381993408
2.47,0.0,0.5107316343498772,0.5107316343498772,0.0,183.3777322803531
2.48,0.0,0.5093092568251213,0.5093092568251213,0.0,183.18199585927937
2.49,0.0,0.5078936510405654,0.5078936510405654,0.0,182.9860090786123
2.5,0.0,0.5064847719332297,0.5064847719332297,0.0,182.78965963358644
2.51,0.0,0.5050825937601678,0.5050825937601678,0.0,182.59302509765192
2.52,0.0,0.5036869513212674,0.5036869513212674,0.0,182.39616848356656
2.53,0.0,0.5022979105260902,0.5022979105260902,0.0,182.1990548571367
2.54,0.0,0.5009154277632571,0.5009154277632571,0.0,182.0016601954273
2.55,0.0,0.4995393687272561,0.4995393687272561,0.0,181.80409894847438
2.56,0.0,0.4981696713120718,0.4981696713120718,0.0,181.60625130234538
2.57,0.0,0.49680642268080266,0.49680642268080266,0.0,181.40827919937811
2.58,0.0,0.4954494604233633,0.4954494604233633,0.0,181.21011106461023
2.59,0.0,0.49409874365202794,0.49409874365202794,0.0,181.01177227568996
2.6,0.0,0.492754150178174,0.492754150178174,0.0,180.81321848272523
2.61,0.0,0.49141582985003773,0.49141582985003773,0.0,180.61455037350217
2.62,0.0,0.49008364175566127,0.49008364175566127,0.0,180.41576712871742
2.63,0.0,0.4887574553308921,0.4887574553308921,0.0,180.2168652959751
2.64,0.0,0.48743733140892676,0.48743733140892676,0.0,180.017810561276
2.65,0.0,0.4861231395231351,0.4861231395231351,0.0,179.81858964609444
2.66,0.0,0.4848148205774419,0.4848148205774419,0.0,179.61936701175506
2.67,0.0,0.48351246626917876,0.48351246626917876,0.0,179.41999972265765
