# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,85505.26,45431.31,330.0000,0.44132,NaN,261.577,26000.0
0.0344,85046.35,44972.41,327.6333,0.43895,NaN,262.419,26000.0
0.0689,84587.45,44513.51,325.2667,0.43658,NaN,263.260,26000.0
0.1033,84128.55,44054.61,322.9000,0.43421,NaN,264.102,26000.0
0.1378,83669.65,43595.71,320.5333,0.43184,NaN,264.943,26000.0
0.1722,83210.75,43136.80,318.1667,0.42947,NaN,265.785,26000.0
0.2066,82751.84,42677.90,315.8000,0.42711,NaN,266.627,26000.0
0.2411,82292.94,42219.00,313.4333,0.42474,NaN,267.468,26000.0
0.2755,81834.04,41760.10,311.0667,0.42237,NaN,268.310,26000.0
0.3100,81375.14,41301.19,308.7000,0.42000,NaN,269.151,26000.0
0.3444,80916.23,40842.29,306.3333,0.41763,NaN,269.993,26000.0
0.3788,80457.33,40383.39,303.9667,0.41526,NaN,270.835,26000.0
0.4133,79998.43,39924.49,301.6000,0.41289,NaN,271.676,26000.0
0.4477,79539.53,39465.59,299.2333,0.41053,NaN,272.518,26000.0
0.4821,79080.63,39006.68,296.8667,0.40816,NaN,273.359,26000.0
0.5166,78621.72,38547.78,294.5000,0.40579,NaN,274.201,26000.0
0.5510,78162.82,38088.88,292.1333,0.40342,NaN,275.043,26000.0
0.5855,77703.92,37629.98,289.7667,0.40105,NaN,275.884,26000.0
0.6199,77245.02,37171.08,287.4000,0.39868,NaN,276.726,26000.0
0.6543,76786.12,36712.17,285.0333,0.39631,NaN,277.567,26000.0
0.6888,76327.21,36253.27,282.6667,0.39395,NaN,278.409,26000.0
0.7232,75868.31,35794.37,280.3000,0.39158,NaN,279.250,26000.0
0.7577,75409.41,35335.47,277.9333,0.38921,NaN,280.092,26000.0
0.7921,74950.51,34876.56,275.5667,0.38684,NaN,280.934,26000.0
0.8265,74491.60,34417.66,273.2000,0.38447,NaN,281.775,26000.0
0.8610,74032.70,33958.76,270.8333,0.38210,NaN,282.617,26000.0
0.8954,73573.80,33499.86,268.4667,0.37973,NaN,283.458,26000.0
0.9299,73114.90,33040.96,266.1000,0.37737,NaN,284.300,26000.0
0.9643,72656.00,32582.05,263.7333,0.37500,NaN,285.142,26000.0
0.9987,72197.09,32123.15,261.3667,0.37263,NaN,285.983,26000.0
1.0332,71738.19,31664.25,259.0000,0.37026,NaN,286.825,26000.0
1.0676,71279.29,31205.35,256.6333,0.36789,NaN,287.666,26000.0
1.1021,70820.39,30746.44,254.2667,0.36552,NaN,288.508,26000.0
1.1365,70361.48,30287.54,251.9000,0.36316,NaN,289.350,26000.0
1.1709,69902.58,29828.64,249.5333,0.36079,NaN,290.191,26000.0
1.2054,69443.68,29369.74,247.1667,0.35842,NaN,291.033,26000.0
1.2398,68984.78,28910.84,244.8000,0.35605,NaN,291.874,26000.0
1.2742,68525.88,28451.93,242.4333,0.35368,NaN,292.716,26000.0
1.3087,68066.97,27993.03,240.0667,0.35131,NaN,293.558,26000.0
1.3431,67608.07,27534.13,237.7000,0.34894,NaN,294.399,26000.0
1.3776,67149.17,27075.23,235.3333,0.34658,NaN,295.241,26000.0
1.4120,66690.27,26616.33,232.9667,0.34421,NaN,296.082,26000.0
1.4464,66231.37,26157.42,230.6000,0.34184,NaN,296.924,26000.0
1.4809,65772.46,25698.52,228.2333,0.33947,NaN,297.765,26000.0
1.5153,65313.56,25239.62,225.8667,0.33710,NaN,298.607,26000.0
1.5498,64854.66,24780.72,223.5000,0.33473,NaN,299.449,26000.0
1.5842,64395.76,24321.81,221.1333,0.33236,NaN,300.290,26000.0
1.6186,63936.85,23862.91,218.7667,0.33000,NaN,301.132,26000.0
1.6531,63477.95,23404.01,216.4000,0.32763,NaN,301.973,26000.0
1.6875,63019.05,22945.11,214.0333,0.32526,NaN,302.815,26000.0
1.7220,62560.15,22486.21,211.6667,0.32289,NaN,303.657,26000.0
1.7564,62101.25,22027.30,209.3000,0.32052,NaN,304.498,26000.0
1.7908,61642.34,21568.40,206.9333,0.31815,NaN,305.340,26000.0
1.8253,61183.44,21109.50,204.5667,0.31578,NaN,306.181,26000.0
1.8597,60724.54,20650.60,202.2000,0.31342,NaN,307.023,26000.0
1.8942,60265.64,20191.70,199.8333,0.31105,NaN,307.865,26000.0
1.9286,59806.73,19732.79,197.4667,0.30868,NaN,308.706,26000.0
1.9630,59347.83,19273.89,195.1000,0.30631,NaN,309.548,26000.0
1.9975,58888.93,18814.99,192.7333,0.30394,NaN,310.389,26000.0
2.0319,58430.03,18356.09,190.3667,0.30157,NaN,311.231,26000.0
2.0664,57971.13,17897.18,188.0000,0.29921,NaN,312.073,26000.0
2.1008,57512.22,17438.28,185.6333,0.29684,NaN,312.914,26000.0
2.1352,57053.32,16979.38,183.2667,0.29447,NaN,313.756,26000.0
2.1697,56594.42,16520.48,180.9000,0.29210,NaN,314.597,26000.0
2.2041,56135.52,16061.58,178.5333,0.28973,NaN,315.439,26000.0
2.2385,55676.62,15602.67,176.1667,0.28736,NaN,316.280,26000.0
2.2730,55217.71,15143.77,173.8000,0.28499,NaN,317.122,26000.0
2.3074,54758.81,14684.87,171.4333,0.28263,NaN,317.964,26000.0
2.3419,54299.91,14225.97,169.0667,0.28026,NaN,318.805,26000.0
2.3763,53841.01,13767.06,166.7000,0.27789,NaN,319.647,26000.0
2.4107,53382.10,13308.16,164.3333,0.27552,NaN,320.488,26000.0
2.4452,52923.20,12849.26,161.9667,0.27315,NaN,321.330,26000.0
2.4796,52464.30,12390.36,159.6000,0.27078,NaN,322.172,26000.0
2.5141,52005.40,11931.46,157.2333,0.26841,NaN,323.013,26000.0
2.5485,51546.50,11472.55,154.8667,0.26605,NaN,323.855,26000.0
2.5829,51087.59,11013.65,152.5000,0.26368,NaN,324.696,26000.0
2.6174,50628.69,10554.75,150.1333,0.26131,NaN,325.538,26000.0
2.6518,50169.79,10095.85,147.7667,0.25894,NaN,326.380,26000.0
2.6863,49710.89,9636.95,145.4000,0.25657,NaN,327.221,26000.0
2.7207,49251.99,9178.04,143.0333,0.25420,NaN,328.063,26000.0
2.7551,48793.08,8719.14,140.6667,0.25183,NaN,328.904,26000.0
2.7896,48334.18,8260.24,138.3000,0.24947,NaN,329.746,26000.0
2.8240,47875.28,7801.34,135.9333,0.24710,NaN,330.588,26000.0
2.8585,47416.38,7342.43,133.5667,0.24473,NaN,331.429,26000.0
2.8929,46957.47,6883.53,131.2000,0.24236,NaN,332.271,26000.0
2.9273,46498.57,6424.63,128.8333,0.23999,NaN,333.112,26000.0
2.9618,46039.67,5965.73,126.4667,0.23762,NaN,333.954,26000.0
2.9962,45580.77,5506.83,124.1000,0.23526,NaN,334.795,26000.0
3.0306,45121.87,5047.92,121.7333,0.23289,NaN,335.637,26000.0
3.0651,44662.96,4589.02,119.3667,0.23052,NaN,336.479,26000.0
3.0995,44204.06,4130.12,117.0000,0.22815,NaN,337.320,26000.0
3.1340,43745.16,3671.22,114.6333,0.22578,NaN,338.162,26000.0
3.1684,43286.26,3212.32,112.2667,0.22341,NaN,339.003,26000.0
3.2028,42827.35,2753.41,109.9000,0.22104,NaN,339.845,26000.0
3.2373,42368.45,2294.51,107.5333,0.21868,NaN,340.687,26000.0
3.2717,41909.55,1835.61,105.1667,0.21631,NaN,341.528,26000.0
3.3062,41450.65,1376.71,102.8000,0.21394,NaN,342.370,26000.0
3.3406,40991.75,917.80,100.4333,0.21157,NaN,343.211,26000.0
3.3750,40532.84,458.90,98.0667,0.20920,NaN,344.053,26000.0
3.4095,40073.94,0.00,95.7000,0.20683,NaN,344.895,26000.0
3.4105,40073.94,0.00,95.7000,0.20683,NaN,344.895,0.0
603.4095,40073.94,0.00,95.7000,0.20683,NaN,344.895,0.0
