# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,161607.42,89453.12,556.1495,0.4837,NaN,435.640,13000.0
0.1356,160703.85,88549.56,550.5719,0.4798,NaN,437.273,13000.0
0.2712,159800.29,87645.99,545.1193,0.4758,NaN,438.890,13000.0
0.4069,158896.72,86742.42,539.7897,0.4719,NaN,440.493,13000.0
0.5425,157993.15,85838.86,534.5810,0.4680,NaN,442.079,13000.0
0.6781,157089.59,84935.29,529.4913,0.4641,NaN,443.649,13000.0
0.8137,156186.02,84031.72,524.5184,0.4602,NaN,445.203,13000.0
0.9493,155282.45,83128.16,519.6603,0.4563,NaN,446.741,13000.0
1.0850,154378.89,82224.59,514.9149,0.4523,NaN,448.261,13000.0
1.2206,153475.32,81321.02,510.2801,0.4484,NaN,449.764,13000.0
1.3562,152571.75,80417.46,505.7539,0.4445,NaN,451.250,13000.0
1.4918,151668.18,79513.89,501.3341,0.4406,NaN,452.718,13000.0
1.6274,150764.62,78610.32,497.0185,0.4367,NaN,454.168,13000.0
1.7631,149861.05,77706.76,492.8050,0.4327,NaN,455.599,13000.0
1.8987,148957.48,76803.19,488.6915,0.4288,NaN,457.012,13000.0
2.0343,148053.92,75899.62,484.6759,0.4249,NaN,458.405,13000.0
2.1699,147150.35,74996.05,480.7558,0.4210,NaN,459.779,13000.0
2.3055,146246.78,74092.49,476.9292,0.4171,NaN,461.133,13000.0
2.4412,145343.22,73188.92,473.1938,0.4132,NaN,462.467,13000.0
2.5768,144439.65,72285.35,469.5474,0.4092,NaN,463.780,13000.0
2.7124,143536.08,71381.79,465.9879,0.4053,NaN,465.072,13000.0
2.8480,142632.52,70478.22,462.5129,0.4014,NaN,466.343,13000.0
2.9836,141728.95,69574.65,459.1202,0.3975,NaN,467.592,13000.0
3.1193,140825.38,68671.09,455.8076,0.3936,NaN,468.818,13000.0
