# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,121011.40,90862.63,772.0000,0.62457,NaN,298.662,8000.0
0.2239,120093.59,89944.82,766.1212,0.61984,NaN,300.633,8000.0
0.4477,119175.79,89027.02,760.2424,0.61510,NaN,302.603,8000.0
0.6716,118257.99,88109.22,754.3636,0.61036,NaN,304.574,8000.0
0.8954,117340.18,87191.41,748.4848,0.60563,NaN,306.545,8000.0
1.1193,116422.38,86273.61,742.6061,0.60089,NaN,308.515,8000.0
1.3431,115504.57,85355.80,736.7273,0.59615,NaN,310.486,8000.0
1.5670,114586.77,84438.00,730.8485,0.59141,NaN,312.457,8000.0
1.7908,113668.96,83520.19,724.9697,0.58668,NaN,314.427,8000.0
2.0147,112751.16,82602.39,719.0909,0.58194,NaN,316.398,8000.0
2.2385,111833.35,81684.59,713.2121,0.57720,NaN,318.369,8000.0
2.4624,110915.55,80766.78,707.3333,0.57247,NaN,320.339,8000.0
2.6863,109997.75,79848.98,701.4545,0.56773,NaN,322.310,8000.0
2.9101,109079.94,78931.17,695.5758,0.56299,NaN,324.280,8000.0
3.1340,108162.14,78013.37,689.6970,0.55826,NaN,326.251,8000.0
3.3578,107244.33,77095.56,683.8182,0.55352,NaN,328.222,8000.0
3.5817,106326.53,76177.76,677.9394,0.54878,NaN,330.192,8000.0
3.8055,105408.72,75259.95,672.0606,0.54404,NaN,332.163,8000.0
4.0294,104490.92,74342.15,666.1818,0.53931,NaN,334.134,8000.0
4.2532,103573.12,73424.35,660.3030,0.53457,NaN,336.104,8000.0
4.4771,102655.31,72506.54,654.4242,0.52983,NaN,338.075,8000.0
4.7009,101737.51,71588.74,648.5455,0.52510,NaN,340.046,8000.0
4.9248,100819.70,70670.93,642.6667,0.52036,NaN,342.016,8000.0
5.1487,99901.90,69753.13,636.7879,0.51562,NaN,343.987,8000.0
5.3725,98984.09,68835.32,630.9091,0.51088,NaN,345.958,8000.0
5.5964,98066.29,67917.52,625.0303,0.50615,NaN,347.928,8000.0
5.8202,97148.49,66999.72,619.1515,0.50141,NaN,349.899,8000.0
6.0441,96230.68,66081.91,613.2727,0.49667,NaN,351.869,8000.0
6.2679,95312.88,65164.11,607.3939,0.49194,NaN,353.840,8000.0
6.4918,94395.07,64246.30,601.5152,0.48720,NaN,355.811,8000.0
6.7156,93477.27,63328.50,595.6364,0.48246,NaN,357.781,8000.0
6.9395,92559.46,62410.69,589.7576,0.47773,NaN,359.752,8000.0
7.1634,91641.66,61492.89,583.8788,0.47299,NaN,361.723,8000.0
7.3872,90723.86,60575.09,578.0000,0.46825,NaN,363.693,8000.0
7.6111,89806.05,59657.28,572.1212,0.46351,NaN,365.664,8000.0
7.8349,88888.25,58739.48,566.2424,0.45878,NaN,367.635,8000.0
8.0588,87970.44,57821.67,560.3636,0.45404,NaN,369.605,8000.0
8.2826,87052.64,56903.87,554.4848,0.44930,NaN,371.576,8000.0
8.5065,86134.83,55986.06,548.6061,0.44457,NaN,373.546,8000.0
8.7303,85217.03,55068.26,542.7273,0.43983,NaN,375.517,8000.0
8.9542,84299.23,54150.46,536.8485,0.43509,NaN,377.488,8000.0
9.1780,83381.42,53232.65,530.9697,0.43035,NaN,379.458,8000.0
9.4019,82463.62,52314.85,525.0909,0.42562,NaN,381.429,8000.0
9.6258,81545.81,51397.04,519.2121,0.42088,NaN,383.400,8000.0
9.8496,80628.01,50479.24,513.3333,0.41614,NaN,385.370,8000.0
10.0735,79710.20,49561.43,507.4545,0.41141,NaN,387.341,8000.0
10.2973,78792.40,48643.63,501.5758,0.40667,NaN,389.312,8000.0
10.5212,77874.59,47725.83,495.6970,0.40193,NaN,391.282,8000.0
10.7450,76956.79,46808.02,489.8182,0.39720,NaN,393.253,8000.0
10.9689,76038.99,45890.22,483.9394,0.39246,NaN,395.223,8000.0
11.1927,75121.18,44972.41,478.0606,0.38772,NaN,397.194,8000.0
11.4166,74203.38,44054.61,472.1818,0.38298,NaN,399.165,8000.0
11.6404,73285.57,43136.80,466.3030,0.37825,NaN,401.135,8000.0
11.8643,72367.77,42219.00,460.4242,0.37351,NaN,403.106,8000.0
12.0882,71449.96,41301.19,454.5455,0.36877,NaN,405.077,8000.0
12.3120,70532.16,40383.39,448.6667,0.36404,NaN,407.047,8000.0
12.5359,69614.36,39465.59,442.7879,0.35930,NaN,409.018,8000.0
12.7597,68696.55,38547.78,436.9091,0.35456,NaN,410.989,8000.0
12.9836,67778.75,37629.98,431.0303,0.34983,NaN,412.959,8000.0
13.2074,66860.94,36712.17,425.1515,0.34509,NaN,414.930,8000.0
13.4313,65943.14,35794.37,419.2727,0.34035,NaN,416.900,8000.0
13.6551,65025.33,34876.56,413.3939,0.33561,NaN,418.871,8000.0
13.8790,64107.53,33958.76,407.5152,0.33088,NaN,420.842,8000.0
14.1028,63189.73,33040.96,401.6364,0.32614,NaN,422.812,8000.0
14.3267,62271.92,32123.15,395.7576,0.32140,NaN,424.783,8000.0
14.5506,61354.12,31205.35,389.8788,0.31667,NaN,426.754,8000.0
14.7744,60436.31,30287.54,384.0000,0.31193,NaN,428.724,8000.0
14.9983,59518.51,29369.74,378.1212,0.30719,NaN,430.695,8000.0
15.2221,58600.70,28451.93,372.2424,0.30245,NaN,432.666,8000.0
15.4460,57682.90,27534.13,366.3636,0.29772,NaN,434.636,8000.0
15.6698,56765.10,26616.33,360.4848,0.29298,NaN,436.607,8000.0
15.8937,55847.29,25698.52,354.6061,0.28824,NaN,438.577,8000.0
16.1175,54929.49,24780.72,348.7273,0.28351,NaN,440.548,8000.0
16.3414,54011.68,23862.91,342.8485,0.27877,NaN,442.519,8000.0
16.5652,53093.88,22945.11,336.9697,0.27403,NaN,444.489,8000.0
16.7891,52176.07,22027.30,331.0909,0.26930,NaN,446.460,8000.0
17.0130,51258.27,21109.50,325.2121,0.26456,NaN,448.431,8000.0
17.2368,50340.47,20191.70,319.3333,0.25982,NaN,450.401,8000.0
17.4607,49422.66,19273.89,313.4545,0.25508,NaN,452.372,8000.0
17.6845,48504.86,18356.09,307.5758,0.25035,NaN,454.343,8000.0
17.9084,47587.05,17438.28,301.6970,0.24561,NaN,456.313,8000.0
18.1322,46669.25,16520.48,295.8182,0.24087,NaN,458.284,8000.0
18.3561,45751.44,15602.67,289.9394,0.23614,NaN,460.255,8000.0
18.5799,44833.64,14684.87,284.0606,0.23140,NaN,462.225,8000.0
