# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,123511.40,90862.63,768.0000,0.63748,NaN,295.299,26000.0
0.0689,122593.59,89944.82,762.4747,0.63274,NaN,297.024,26000.0
0.1378,121675.79,89027.02,756.9495,0.62800,NaN,298.749,26000.0
0.2066,120757.99,88109.22,751.4242,0.62327,NaN,300.474,26000.0
0.2755,119840.18,87191.41,745.8990,0.61853,NaN,302.200,26000.0
0.3444,118922.38,86273.61,740.3737,0.61379,NaN,303.925,26000.0
0.4133,118004.57,85355.80,734.8485,0.60905,NaN,305.650,26000.0
0.4821,117086.77,84438.00,729.3232,0.60432,NaN,307.375,26000.0
0.5510,116168.96,83520.19,723.7980,0.59958,NaN,309.100,26000.0
0.6199,115251.16,82602.39,718.2727,0.59484,NaN,310.826,26000.0
0.6888,114333.35,81684.59,712.7475,0.59011,NaN,312.551,26000.0
0.7577,113415.55,80766.78,707.2222,0.58537,NaN,314.276,26000.0
0.8265,112497.75,79848.98,701.6970,0.58063,NaN,316.001,26000.0
0.8954,111579.94,78931.17,696.1717,0.57590,NaN,317.726,26000.0
0.9643,110662.14,78013.37,690.6465,0.57116,NaN,319.452,26000.0
1.0332,109744.33,77095.56,685.1212,0.56642,NaN,321.177,26000.0
1.1021,108826.53,76177.76,679.5960,0.56168,NaN,322.902,26000.0
1.1709,107908.72,75259.95,674.0707,0.55695,NaN,324.627,26000.0
1.2398,106990.92,74342.15,668.5455,0.55221,NaN,326.352,26000.0
1.3087,106073.12,73424.35,663.0202,0.54747,NaN,328.078,26000.0
1.3776,105155.31,72506.54,657.4949,0.54274,NaN,329.803,26000.0
1.4464,104237.51,71588.74,651.9697,0.53800,NaN,331.528,26000.0
1.5153,103319.70,70670.93,646.4444,0.53326,NaN,333.253,26000.0
1.5842,102401.90,69753.13,640.9192,0.52852,NaN,334.978,26000.0
1.6531,101484.09,68835.32,635.3939,0.52379,NaN,336.704,26000.0
1.7220,100566.29,67917.52,629.8687,0.51905,NaN,338.429,26000.0
1.7908,99648.49,66999.72,624.3434,0.51431,NaN,340.154,26000.0
