# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.0000,169424.68,95742.19,650.8772,0.5177,NaN,452.922,9000.0
0.2097,168457.59,94775.09,644.2390,0.5135,NaN,454.687,9000.0
0.4193,167490.50,93808.00,637.7500,0.5093,NaN,456.436,9000.0
0.6290,166523.41,92840.91,631.4078,0.5051,NaN,458.168,9000.0
0.8387,165556.31,91873.82,625.2099,0.5009,NaN,459.883,9000.0
1.0483,164589.22,90906.72,619.1539,0.4967,NaN,461.580,9000.0
1.2580,163622.13,89939.63,613.2373,0.4925,NaN,463.260,9000.0
1.4677,162655.03,88972.54,607.4575,0.4883,NaN,464.922,9000.0
1.6773,161687.94,88005.45,601.8121,0.4841,NaN,466.566,9000.0
1.8870,160720.85,87038.35,596.2986,0.4799,NaN,468.191,9000.0
2.0967,159753.76,86071.26,590.9142,0.4757,NaN,469.797,9000.0
2.3063,158786.66,85104.17,585.6566,0.4716,NaN,471.384,9000.0
2.5160,157819.57,84137.07,580.5231,0.4674,NaN,472.951,9000.0
2.7257,156852.48,83169.98,575.5111,0.4632,NaN,474.499,9000.0
2.9353,155885.38,82202.89,570.6180,0.4590,NaN,476.025,9000.0
3.1450,154918.29,81235.80,565.8411,0.4548,NaN,477.531,9000.0
3.3547,153951.20,80268.70,561.1779,0.4506,NaN,479.016,9000.0
3.5644,152984.11,79301.61,556.6257,0.4464,NaN,480.479,9000.0
3.7740,152017.01,78334.52,552.1818,0.4422,NaN,481.921,9000.0
3.9837,151049.92,77367.42,547.8435,0.4380,NaN,483.340,9000.0
4.1934,150082.83,76400.33,543.6081,0.4338,NaN,484.736,9000.0
4.4030,149115.73,75433.24,539.4730,0.4296,NaN,486.108,9000.0
4.6127,148148.64,74466.15,535.4353,0.4254,NaN,487.457,9000.0
4.8224,147181.55,73499.05,531.4924,0.4212,NaN,488.782,9000.0
5.0320,146214.46,72531.96,527.6416,0.4170,NaN,490.082,9000.0
5.2417,145247.36,71564.87,523.8800,0.4128,NaN,491.357,9000.0
5.4514,144280.27,70597.77,520.2051,0.4086,NaN,492.607,9000.0
5.6610,143313.18,69630.68,516.6176,0.4045,NaN,493.842,9000.0
5.8707,142346.09,68663.59,513.1175,0.4003,NaN,495.067,9000.0
6.0804,141378.99,67696.50,509.7032,0.3961,NaN,496.280,9000.0
6.2900,140411.90,66729.40,506.3735,0.3919,NaN,497.482,9000.0
6.4997,139444.81,65762.31,503.1269,0.3877,NaN,498.673,9000.0
6.7094,138477.71,64795.22,499.9621,0.3835,NaN,499.853,9000.0
6.9190,137510.62,63828.13,496.8776,0.3793,NaN,501.020,9000.0
7.1287,136543.53,62861.03,493.8719,0.3751,NaN,502.176,9000.0
7.3384,135576.44,61893.94,490.9438,0.3709,NaN,503.319,9000.0
7.5480,134609.34,60926.85,488.0916,0.3667,NaN,504.450,9000.0
7.7577,133642.25,59959.75,485.3140,0.3625,NaN,505.567,9000.0
7.9674,132675.16,58992.66,482.6095,0.3583,NaN,506.672,9000.0
8.1770,131708.06,58025.57,479.9765,0.3541,NaN,507.763,9000.0
8.3867,130740.97,57058.48,477.4137,0.3499,NaN,508.840,9000.0
8.5964,129773.88,56091.38,474.9194,0.3457,NaN,509.904,9000.0
8.8060,128806.79,55124.29,472.4922,0.3416,NaN,510.952,9000.0
9.0157,127839.69,54157.20,470.1304,0.3374,NaN,511.987,9000.0
9.2254,126872.60,53190.10,467.8326,0.3332,NaN,513.006,9000.0
9.4351,125905.51,52223.01,465.5971,0.3290,NaN,514.010,9000.0
9.6447,124938.41,51255.92,463.4223,0.3248,NaN,514.998,9000.0
9.8544,123971.32,50288.83,461.3066,0.3206,NaN,515.969,9000.0
10.0641,123004.23,49321.73,459.2484,0.3164,NaN,516.925,9000.0
10.2737,122037.14,48354.64,457.2460,0.3122,NaN,517.863,9000.0
10.4834,121070.04,47387.55,455.2978,0.3080,NaN,518.785,9000.0
10.6931,120102.95,46420.45,453.4020,0.3038,NaN,519.688,9000.0
10.9027,119135.86,45453.36,451.5569,0.2996,NaN,520.574,9000.0
11.1124,118168.76,44486.27,449.7607,0.2954,NaN,521.440,9000.0
11.3221,117201.67,43519.18,448.0117,0.2912,NaN,522.288,9000.0
11.5317,116234.58,42552.08,446.3081,0.2870,NaN,523.116,9000.0
11.7414,115267.49,41584.99,444.6481,0.2828,NaN,523.925,9000.0
11.9511,114300.39,40617.90,443.0297,0.2786,NaN,524.712,9000.0
12.1607,113333.30,39650.80,441.4512,0.2745,NaN,525.479,9000.0
12.3704,112366.21,38683.71,439.9105,0.2703,NaN,526.224,9000.0
12.5801,111399.12,37716.62,438.4058,0.2661,NaN,526.947,9000.0
12.7897,110432.02,36749.53,436.9351,0.2619,NaN,527.648,9000.0
12.9994,109464.93,35782.43,435.4964,0.2577,NaN,528.324,9000.0
13.2091,108497.84,34815.34,434.0875,0.2535,NaN,528.977,9000.0
13.4187,107530.74,33848.25,432.7065,0.2493,NaN,529.606,9000.0
13.6284,106563.65,32881.16,431.3512,0.2451,NaN,530.209,9000.0
13.8381,105596.56,31914.06,430.0194,0.2409,NaN,530.786,9000.0
14.0477,104629.47,30946.97,428.7090,0.2367,NaN,531.337,9000.0
14.2574,103662.37,29979.88,427.4176,0.2325,NaN,531.860,9000.0
14.4671,102695.28,29012.78,426.1429,0.2283,NaN,532.354,9000.0
14.6767,101728.19,28045.69,424.8827,0.2241,NaN,532.820,9000.0
14.8864,100761.09,27078.60,423.6345,0.2199,NaN,533.256,9000.0
15.0961,99794.00,26111.51,422.3958,0.2157,NaN,533.661,9000.0
15.3058,98826.91,25144.41,421.1642,0.2115,NaN,534.035,9000.0
15.5154,97859.82,24177.32,419.9370,0.2074,NaN,534.376,9000.0
15.7251,96892.72,23210.23,418.7116,0.2032,NaN,534.684,9000.0
15.9348,95925.63,22243.13,417.4853,0.1990,NaN,534.957,9000.0
16.1444,94958.54,21276.04,416.2554,0.1948,NaN,535.194,9000.0
16.3541,93991.44,20308.95,415.0189,0.1906,NaN,535.395,9000.0
16.5638,93024.35,19341.86,413.7730,0.1864,NaN,535.558,9000.0
16.7734,92057.26,18374.76,412.5147,0.1822,NaN,535.681,9000.0
16.9831,91090.17,17407.67,411.2408,0.1780,NaN,535.765,9000.0
17.1928,90123.07,16440.58,409.9483,0.1738,NaN,535.807,9000.0
17.4024,89155.98,15473.48,408.6337,0.1696,NaN,535.806,9000.0
17.6121,88188.89,14506.39,407.2938,0.1654,NaN,535.761,9000.0
17.8218,87221.80,13539.30,405.9251,0.1612,NaN,535.670,9000.0
18.0314,86254.70,12572.21,404.5239,0.1570,NaN,535.531,9000.0
18.2411,85287.61,11605.11,403.0866,0.1528,NaN,535.344,9000.0
18.4508,84320.52,10638.02,401.6093,0.1486,NaN,535.106,9000.0
18.6604,83353.42,9670.93,400.0881,0.1445,NaN,534.815,9000.0
18.8701,82386.33,8703.84,398.5189,0.1403,NaN,534.471,9000.0
19.0798,81419.24,7736.74,396.8974,0.1361,NaN,534.070,9000.0
19.2894,80452.15,6769.65,395.2193,0.1319,NaN,533.611,9000.0
19.4991,79485.05,5802.56,393.4798,0.1277,NaN,533.091,9000.0
19.7088,78517.96,4835.46,391.6744,0.1235,NaN,532.509,9000.0
19.9184,77550.87,3868.37,389.7980,0.1193,NaN,531.862,9000.0
20.1281,76583.77,2901.28,387.8456,0.1151,NaN,531.148,9000.0
20.3378,75616.68,1934.19,385.8118,0.1109,NaN,530.364,9000.0
20.5474,74649.59,967.09,383.6910,0.1067,NaN,529.507,9000.0
20.7571,73682.50,0.00,381.4774,0.1025,NaN,528.574,9000.0
20.7581,73682.50,0.00,381.4774,0.1025,NaN,528.574,0.0
620.7571,73682.50,0.00,381.4774,0.1025,NaN,528.574,0.0
