perm_idx,trial_idx,apogee,landing_x,landing_y,max_mach,tank_ft,thrust_N,t_burn_s,wet_kg,dry_kg,wet_cg_cm,dry_cg_cm
0,0,80239.86522798068,-2070.2328567441327,-17760.42358234907,4.911587230834633,12,8000.0,16.62,100.76,32.61,267.73,386.26
0,1,80156.56123417235,1348.3653263204799,-18938.371379626456,4.911155109939056,12,8000.0,16.62,100.76,32.61,267.73,386.26
0,2,80236.88944829123,4624.1096511692485,-17162.008485187554,4.911461942000614,12,8000.0,16.62,100.76,32.61,267.73,386.26
0,3,80003.48463300458,475.61996640098033,-20527.86188410281,4.909650149994417,12,8000.0,16.62,100.76,32.61,267.73,386.26
0,4,80376.66643968338,-670.692502284496,-15677.347417050123,4.912226609062163,12,8000.0,16.62,100.76,32.61,267.73,386.26
0,0,157674.29647673678,-7528.510896006781,-63950.08474382069,6.068752600739988,16,8000.0,22.16,123.51,32.65,295.3,466.09
0,1,157339.60599251525,5236.430560292126,-67589.56752149764,6.067563907507047,16,8000.0,22.16,123.51,32.65,295.3,466.09
0,2,157703.44095627626,17376.258824901037,-61774.98050746288,6.068834552174346,16,8000.0,22.16,123.51,32.65,295.3,466.09
0,3,156716.05723704433,1738.4560947759658,-73580.14606628011,6.065641524012315,16,8000.0,22.16,123.51,32.65,295.3,466.09
0,4,158312.19353870803,-1687.5342825968403,-56835.59173542927,6.0703288993342,16,8000.0,22.16,123.51,32.65,295.3,466.09
0,0,164269.8354058905,40447.68176812246,-57353.91889048866,6.682833941441776,20,8000.0,27.7,146.26,32.69,321.44,545.22
0,1,163299.16361950414,-44265.47570586754,-90782.87214088695,6.698238404925769,20,8000.0,27.7,146.26,32.69,321.44,545.22
0,2,171101.4172130884,-5827.099482466173,-25886.674793371356,6.721752955134665,20,8000.0,27.7,146.26,32.69,321.44,545.22
0,3,162398.28676183592,-47842.36287213549,-98267.86898167082,6.699782877316417,20,8000.0,27.7,146.26,32.69,321.44,545.22
0,4,165833.60718570408,-49897.914882834724,-44092.83516769251,6.691876186163783,20,8000.0,27.7,146.26,32.69,321.44,545.22
0,0,74310.9721338851,-1469.4334262302684,-12249.067318255962,5.06093646110528,12,11000.0,12.09,100.76,32.61,267.73,386.26
0,1,74256.15237306901,918.2765491059764,-13164.031821166143,5.060744156538156,12,11000.0,12.09,100.76,32.61,267.73,386.26
0,2,74305.585672198,3167.6006675268904,-11892.955232928743,5.060781376205934,12,11000.0,12.09,100.76,32.61,267.73,386.26
0,3,74148.49738050405,333.05816689880714,-14422.699631110525,5.0597555460880255,12,11000.0,12.09,100.76,32.61,267.73,386.26
0,4,74386.29517379461,-462.70316185147664,-10756.164294972714,5.061130273981455,12,11000.0,12.09,100.76,32.61,267.73,386.26
0,0,149605.91553320657,-4937.706518274146,-43931.0533479686,6.294757354194151,16,11000.0,16.12,123.51,32.65,295.3,466.09
0,1,149459.25279793626,3557.02822309223,-46368.8905045254,6.294529572166782,16,11000.0,16.12,123.51,32.65,295.3,466.09
0,2,149626.2982602246,11981.569294583716,-42455.852106259845,6.29480045282907,16,11000.0,16.12,123.51,32.65,295.3,466.09
0,3,149055.7003982015,1303.3532257093884,-51117.82815356777,6.2931447214824106,16,11000.0,16.12,123.51,32.65,295.3,466.09
0,4,149978.2656338731,-1024.9879125974505,-38444.511572608986,6.295677778595887,16,11000.0,16.12,123.51,32.65,295.3,466.09
0,0,114463.48579295118,-17714.926090802972,-11825.294168962426,6.646899412357056,20,11000.0,20.15,146.26,32.69,321.44,545.22
0,1,119260.73935849976,-26612.221695125336,-43126.63099043012,6.768917151827439,20,11000.0,20.15,146.26,32.69,321.44,545.22
0,2,122710.10405436382,-26274.564266112575,-35871.02461718577,6.80893705034085,20,11000.0,20.15,146.26,32.69,321.44,545.22
0,3,116356.9340886442,-29251.531107883417,-43804.10293259014,6.730851554581425,20,11000.0,20.15,146.26,32.69,321.44,545.22
0,4,112318.95370774486,-13290.038407588767,-51313.4063987025,6.644314797327598,20,11000.0,20.15,146.26,32.69,321.44,545.22
0,0,69110.43744763566,-1135.9019831245273,-9314.407654094744,5.182907066074708,12,14000.0,9.5,100.76,32.61,267.73,386.26
0,1,69070.56937053545,675.7417040740096,-10114.252070125416,5.182737660313495,12,14000.0,9.5,100.76,32.61,267.73,386.26
0,2,69104.53044938791,2420.763674911112,-9124.981067953351,5.182804370818871,12,14000.0,9.5,100.76,32.61,267.73,386.26
0,3,68987.23201801737,273.48023916262304,-11133.431035172805,5.18198106524343,12,14000.0,9.5,100.76,32.61,267.73,386.26
0,4,69164.14887990238,-335.05934566126115,-8204.547650454333,5.182924452672382,12,14000.0,9.5,100.76,32.61,267.73,386.26
0,0,142449.1205847991,-4171.0110545969965,-34015.49497321826,6.41483071837927,16,14000.0,12.66,123.51,32.65,295.3,466.09
0,1,157339.60599251525,5236.430560292126,-67589.56752149764,6.067563907507047,16,14000.0,12.66,123.51,32.65,295.3,466.09
0,2,157703.44095627626,17376.258824901037,-61774.98050746288,6.068834552174346,16,14000.0,12.66,123.51,32.65,295.3,466.09
0,3,156716.05723704433,1738.4560947759658,-73580.14606628011,6.065641524012315,16,14000.0,12.66,123.51,32.65,295.3,466.09
0,4,158312.19353870803,-1687.5342825968403,-56835.59173542927,6.0703288993342,16,14000.0,12.66,123.51,32.65,295.3,466.09
0,0,85238.11996661656,13890.717460261596,-14119.49038553644,6.820414970404663,20,14000.0,15.83,146.26,32.69,321.44,545.22
0,1,81371.13865862928,-15138.671133951675,-18866.719174869017,6.703439801160743,20,14000.0,15.83,146.26,32.69,321.44,545.22
0,2,83521.53860110903,-102.06789966080389,-2244.624381784405,6.710253876129963,20,14000.0,15.83,146.26,32.69,321.44,545.22
0,3,91069.64787241793,-6645.227351395513,-2737.01654311065,6.954822522100623,20,14000.0,15.83,146.26,32.69,321.44,545.22
0,4,83713.08530749413,13461.394175334743,-12723.94789294527,6.743270721614485,20,14000.0,15.83,146.26,32.69,321.44,545.22
0,0,65079.747266396946,-921.5836386420868,-7645.7853328394685,5.281202058619564,12,17000.0,7.82,100.76,32.61,267.73,386.26
0,1,65050.69611267501,535.4703769231219,-8348.160284391744,5.2810232931660686,12,17000.0,7.82,100.76,32.61,267.73,386.26
0,2,65070.93207229838,1996.056853741465,-7523.923025366822,5.281035423462433,12,17000.0,7.82,100.76,32.61,267.73,386.26
0,3,64975.64707159287,254.26015284010938,-9243.623075247451,5.280373861811847,12,17000.0,7.82,100.76,32.61,267.73,386.26
0,4,65124.65772782728,-246.5943936828961,-6745.375829727112,5.281135900757736,12,17000.0,7.82,100.76,32.61,267.73,386.26
0,0,137837.9072329466,-3379.132228667937,-28989.463176856043,6.487353341980871,16,17000.0,10.43,123.51,32.65,295.3,466.09
0,1,137698.0406495638,2658.30142540764,-31405.363485347712,6.486908840768486,16,17000.0,10.43,123.51,32.65,295.3,466.09
0,2,137802.2262153279,7784.469279885632,-28659.28257399795,6.487268299474382,16,17000.0,10.43,123.51,32.65,295.3,466.09
0,3,137461.22738181418,1343.3684305955294,-34631.13583341198,6.48574755602716,16,17000.0,10.43,123.51,32.65,295.3,466.09
0,4,138038.30492902073,-983.9224527326031,-25147.94146387734,6.48801915368521,16,17000.0,10.43,123.51,32.65,295.3,466.09
0,0,83780.47824151343,10186.266683037917,6886.678904035057,7.362948487340842,20,17000.0,13.04,146.26,32.69,321.44,545.22
