time,altitude,pos_x,pos_y,vel_x,vel_y,vel_z,speed,mach,alpha_deg,dynamic_pressure,air_density,pitch,yaw,roll,omega_x,omega_y,omega_z,mass,thrust
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.225000018124288,0.0,0.0,0.0,0.0,0.0,0.0,100.75833,8000.0
0.05,0.08705690957763024,0.0,0.0,0.0,0.0,3.4836185985187273,3.4836185985187273,0.01023709539889797,55.924869717503995,7.432992092573965,1.2249897799614087,0.0,0.0,0.0,0.0,0.0,0.0,100.55333893388922,8000.0
0.1,0.34849526254272234,0.0,0.0,0.0,0.0,6.975240267043922,6.975240267043922,0.02049776936912359,36.43635853361339,29.799564209772285,1.2249590343944903,0.0,0.0,0.0,0.0,0.0,0.0,100.34834786777844,8000.0
0.15000000000000002,0.7847125573288761,0.0,0.0,0.0,0.0,10.474760208620712,10.474760208620712,0.03078177483849733,26.1739506237301,67.19880673654482,1.2249077358654092,0.0,0.0,0.0,0.0,0.0,0.0,100.14335680166765,8000.0
0.2,1.3961014492908457,0.0,0.0,0.0,0.0,13.982090482353156,13.982090482353156,0.04108891472465159,20.208412869215206,119.72700170438401,1.2248358401852297,0.0,0.0,0.0,0.0,0.0,0.0,99.93836764740917,8000.0
0.25,2.183050465294243,0.0,0.0,0.0,0.0,17.497152407583034,17.497152407583034,0.051419019609704145,16.38501788491264,187.4777909898434,1.224743304455958,0.0,0.0,0.0,0.0,0.0,0.0,99.73337955926146,8000.0
0.3,3.145944265747179,0.0,0.0,0.0,0.0,21.019867017147476,21.019867017147476,0.061771919681868875,13.7467182738734,270.5421005589735,1.2246300870454065,0.0,0.0,0.0,0.0,0.0,0.0,99.52839147111375,8000.0
0.35,4.285162609795822,0.0,0.0,0.0,0.0,24.550108710202966,24.550108710202966,0.0721473085265446,11.823588413367572,369.00671271992735,1.2244961477144172,0.0,0.0,0.0,0.0,0.0,0.0,99.32340338296605,8000.0
0.39999999999999997,5.601078504394074,0.0,0.0,0.0,0.0,28.087752627363102,28.087752627363102,0.08254488233687278,10.362298342093288,482.9548585957817,1.2243414478398458,0.0,0.0,0.0,0.0,0.0,0.0,99.11841529481835,8000.0
0.44999999999999996,7.0940596063790835,2.5715326374907992e-05,0.0002545185403915496,0.0010693003757776677,0.010570207581280758,31.632700715896554,31.632702500010556,0.09296442175247367,9.195222364066364,612.4672821067818,1.2241659502548905,-0.0001504000009534487,-1.954972593373655e-09,0.0014885974764067482,0.0010811065900104588,-0.00010936569222285836,-3.5430033445601053e-22,98.91342720667063,8000.0
