time,altitude,pos_x,pos_y,vel_x,vel_y,vel_z,speed,mach,alpha_deg,dynamic_pressure,air_density,pitch,yaw,roll,omega_x,omega_y,omega_z,mass,thrust
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1.225000018124288,0.0,0.0,0.0,0.0,0.0,0.0,131.01139999999998,8000.0
0.05,0.06411128952736227,0.0,0.0,0.0,0.0,2.5652463879354928,2.5652463879354928,0.0075383296006812615,63.52251689882696,4.030524783574342,1.224992478431193,0.0,0.0,0.0,0.0,0.0,0.0,130.8064401965163,8000.0
0.1,0.2566037655390352,0.0,0.0,0.0,0.0,5.1352388634082065,5.1352388634082065,0.015090638996126369,45.08034881717221,16.15164273007446,1.2249698409133971,0.0,0.0,0.0,0.0,0.0,0.0,130.6014803930326,8000.0
0.15000000000000002,0.5777132457408309,0.0,0.0,0.0,0.0,7.709915793821964,7.709915793821964,0.02265678002828653,33.73580210864264,36.406697225390886,1.2249320784821849,0.0,0.0,0.0,0.0,0.0,0.0,130.3965205895489,8000.0
0.2,1.0276724110331248,0.0,0.0,0.0,0.0,10.289216876794441,10.289216876794441,0.030236608646664408,26.578749184728334,64.83774387500281,1.2248791648502673,0.0,0.0,0.0,0.0,0.0,0.0,130.19156078606522,8000.0
0.25,1.6067110938708429,0.0,0.0,0.0,0.0,12.873087908758944,12.873087908758944,0.03782999891911594,21.78975739900115,101.4856362617095,1.224811074500392,0.0,0.0,0.0,0.0,0.0,0.0,129.98655434316353,8000.0
0.3,2.3150565412404687,0.0,0.0,0.0,0.0,15.461479163754165,15.461479163754165,0.045436838265718156,18.403445900226956,146.39008170617095,1.2247277826568872,0.0,0.0,0.0,0.0,0.0,0.0,129.78150519213585,8000.0
0.35,3.152933515020266,0.0,0.0,0.0,0.0,18.0543406975008,18.0543406975008,0.05305701365700842,15.898005611691824,199.5895988378093,1.2246292652762787,0.0,0.0,0.0,0.0,0.0,0.0,129.57645604110814,8000.0
0.39999999999999997,4.120564288066015,0.0,0.0,0.0,0.0,20.651622955853227,20.651622955853227,0.06069041339993341,13.975778265884525,261.121520268946,1.2245154990501161,0.0,0.0,0.0,0.0,0.0,0.0,129.37140689008044,8000.0
0.44999999999999996,5.218168671400011,0.0,0.0,0.0,0.0,23.25327687862104,23.25327687862104,0.06833692744092291,12.457290498649629,331.0219927003618,1.224386461404088,0.0,0.0,0.0,0.0,0.0,0.0,129.16636195176417,8000.0
0.49999999999999994,6.445964003331426,9.500990824842358e-06,9.425120838671332e-05,0.0003918801437979726,0.003883518600541702,25.859252393667845,25.8592526882488,0.07599644380398801,11.218939214989861,409.3259376001196,1.2242421305015658,-0.00015948495894790846,-2.2030726111833205e-09,0.0015821266105789714,0.0011416573687797879,-0.00011520147728598157,-1.3985082086269406e-22,128.9614043814203,8000.0
0.5499999999999999,7.804165110953045,4.029784222725389e-05,0.00039886061834997855,0.000850052324822396,0.008394586828080933,28.469499829857995,28.469501080172822,0.08366885208676265,10.192069563454416,496.06707261631595,1.2240824852503362,-0.0006833790146823672,-4.037455306802459e-08,0.006764177973182743,0.0025168048885075168,-0.0002548309490754739,6.485846936241234e-22,128.7564468110764,8000.0
0.6,9.292984368796192,9.540885905328432e-05,0.0009419422046903184,0.0013620491553724382,0.01339630023462679,31.083970347519312,31.083973264071272,0.09135404357976731,9.324706391166501,591.277912245441,1.2239075052978596,-0.001645365482503394,-2.3359269930583817e-07,0.01624588132022046,0.0041469661560065325,-0.00042148876072515537,-1.2095383174191213e-20,128.55148924073248,8000.0
0.65,10.912631723568754,0.00017713322215140662,0.0017437784441831782,0.0019115066929870318,0.01871170314701101,33.702615613493585,33.702620862072344,0.09905191096530531,8.57991459343359,694.9897636217335,1.2237171710304662,-0.0031267127981749908,-8.417486138180639e-07,0.030788604157933434,0.006053646837579372,-0.0006178714503630221,1.625034817471495e-20,128.34653167038857,8000.0
0.7000000000000001,12.663314707170136,0.000286846204640902,0.0028147286693653373,0.002477763060474176,0.024120213972896466,36.32538761039065,36.32539570285717,0.10676234771038037,7.9306853754974735,807.2327159537622,1.2235114635738742,-0.005216564459923405,-2.337572479871191e-06,0.05121528846580905,0.008258321846716477,-0.0008467818072824286,3.0961772214450435e-20,128.1415208132261,8000.0
